thisN,thisTrialN,thisRepN,hotel_query,choice1,choice2,choice3,choice4,choice5,correct_answer,gray1,gray2,gray3,gray4,gray5,colorBlock.thisRepN,colorBlock.thisTrialN,colorBlock.thisN,colorBlock.thisIndex,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,thisRow.t,notes,assigned_group,WelcomeScreen.started,textWelcomeMessage.started,key_Continue.started,WelcomeScreen.stopped,key_Continue.keys,key_Continue.rt,key_Continue.duration,trialColor.started,mouse.started,imageQuery.started,image1.started,image2.started,image3.started,image4.started,image5.started,queryCaption.started,divider.started,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,color_only,0.02383225003723055,0.04075366607867181,0.04075366607867181,1.4493602910079062,space,1.2270761670079082,None,,,,,,,,,,,,001,2025-06-19_11h04.01.591,mock_study,,2025.1.1,2025-06-19 11h04.27.482082 -0400,
0,0,0,images/hotel5_query.jpg,images/hotel5_sample1.jpg,images/hotel5_sample2.jpg,images/hotel5_correct.jpg,images/hotel5_sample3.png,images/hotel5_sample4.jpg,images/hotel5_correct.jpg,images/hotel5_gray1.jpg,images/hotel5_gray2.jpg,images/hotel5_correctGray.jpg,images/hotel5_gray3.png,images/hotel5_gray4.jpg,0,0,0,0,0,0,0,4,1.8696919160429388,,,,,,,,,,1.8541701660724357,0.40482979197986424,1.8696919160429388,1.8696919160429388,1.8696919160429388,1.8696919160429388,1.8696919160429388,1.8696919160429388,1.8696919160429388,1.8696919160429388,,,,,,,,
