thisN,thisTrialN,thisRepN,hotel_query,choice1,choice2,choice3,choice4,choice5,correct_answer,colorBlock.thisRepN,colorBlock.thisTrialN,colorBlock.thisN,colorBlock.thisIndex,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,thisRow.t,notes,assigned_group,WelcomeScreen.started,textWelcomeMessage.started,key_Continue.started,WelcomeScreen.stopped,key_Continue.keys,key_Continue.rt,key_Continue.duration,trialColor.started,mouse.started,imageQuery.started,image1.started,image2.started,image3.started,image4.started,image5.started,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,color_only,0.03670345898717642,0.05902029201388359,0.05902029201388359,8.344207584043033,space,8.082459124969319,None,,,,,,,,,,001,2025-06-18_10h30.09.880,mock_study,,2025.1.1,2025-06-18 10h30.39.778728 -0400,
0,0,0,images/hotel1_query,images/hotel1_sample1,images/hotel1_sample2,images/hotel1_sample4,images/hotel1_correct,images/hotel1_sample3,images/hotel1_correct,0,0,0,0,0,0,0,0,8.467684958945028,,,,,,,,,,8.451541709015146,0.10733887495007366,8.467684958945028,8.467684958945028,8.467684958945028,8.467684958945028,8.467684958945028,8.467684958945028,,,,,,,,
