thisN,thisTrialN,thisRepN,hotel_query,choice1,choice2,choice3,choice4,choice5,correct_answer,colorBlock.thisRepN,colorBlock.thisTrialN,colorBlock.thisN,colorBlock.thisIndex,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,thisRow.t,notes,assigned_group,WelcomeScreen.started,textWelcomeMessage.started,key_Continue.started,WelcomeScreen.stopped,key_Continue.keys,key_Continue.rt,key_Continue.duration,trialColor.started,mouse.started,imageQuery.started,image1.started,image2.started,image3.started,image4.started,image5.started,queryCaption.started,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,color_only,0.02401787496637553,0.04243404103908688,0.04243404103908688,1.7413842499954626,space,1.524005249957554,None,,,,,,,,,,,001,2025-06-18_10h47.11.834,mock_study,,2025.1.1,2025-06-18 10h48.09.937058 -0400,
0,0,0,images/hotel2_query,images/hotel2_sample1,images/hotel2_correct,images/hotel2_sample2,images/hotel2_sample3,images/hotel2_sample4,images/hotel2_correct,0,0,0,0,0,0,0,1,1.8024507079971954,,,,,,,,,,1.7889402910368517,0.047561916988343,1.8024507079971954,1.8024507079971954,1.8024507079971954,1.8024507079971954,1.8024507079971954,1.8024507079971954,1.8024507079971954,,,,,,,,
