thisN,thisTrialN,thisRepN,hotel_query,choice1,choice2,choice3,choice4,choice5,correct_answer,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,colorBlock.thisRepN,colorBlock.thisTrialN,colorBlock.thisN,colorBlock.thisIndex,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,thisRow.t,notes,assigned_group,WelcomeScreen.started,textWelcomeMessage.started,key_Continue.started,WelcomeScreen.stopped,key_Continue.keys,key_Continue.rt,key_Continue.duration,trialColor.started,mouse.started,imageQuery.started,image1.started,image2.started,image3.started,image4.started,image5.started,queryCaption.started,clicked_image,isCorrect,trialColor.stopped,trialsColor.mouse.x,trialsColor.mouse.y,trialsColor.mouse.leftButton,trialsColor.mouse.midButton,trialsColor.mouse.rightButton,trialsColor.mouse.time,trialsColor.mouse.clicked_name,blank500.started,text.started,text.stopped,blank500.stopped,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,color_only,0.028549541952088475,0.04433083301410079,0.04433083301410079,1.3259906669845805,space,1.0935615840135142,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-18_11h51.42.953,mock_study,,2025.1.1,2025-06-18 11h51.46.944533 -0400,
0,0,0,images/hotel3_query,images/hotel3_correct,images/hotel3_sample1,images/hotel3_sample2,images/hotel3_sample3,images/hotel3_sample4,images/hotel3_correct,[np.float64(-0.38055555555555554)],[np.float64(-0.2611111111111111)],[1],[0],[0],[19.04943508305587],['image1'],0,0,0,0,0,0,0,2,1.4949610829353333,,,,,,,,,,1.480148124974221,0.1541811249917373,1.4949610829353333,1.4949610829353333,1.4949610829353333,1.4949610829353333,1.4949610829353333,1.4949610829353333,1.4949610829353333,images/hotel3_correct,1,20.529996249941178,[np.float64(-0.38055555555555554)],[np.float64(-0.2611111111111111)],[1],[0],[0],[19.04943508305587],['image1'],20.53020929195918,20.53376570797991,21.58874133299105,21.519172541913576,,001,2025-06-18_11h51.42.953,mock_study,,2025.1.1,2025-06-18 11h51.46.944533 -0400,
1,1,0,images/hotel2_query,images/hotel2_sample1,images/hotel2_correct,images/hotel2_sample2,images/hotel2_sample3,images/hotel2_sample4,images/hotel2_correct,[],[],[],[],[],[],[],0,0,0,0,0,1,1,1,21.58874133299105,,,,,,,,,,21.58419762493577,0.05403474997729063,21.58874133299105,21.58874133299105,21.58874133299105,21.58874133299105,21.58874133299105,21.58874133299105,21.58874133299105,images/hotel2_correct,1,50.070005125016905,[],[],[],[],[],[],[],50.07014424994122,50.0768557919655,51.50561154191382,51.06966058292892,,001,2025-06-18_11h51.42.953,mock_study,,2025.1.1,2025-06-18 11h51.46.944533 -0400,
2,2,0,images/hotel5_query,images/hotel5_sample1,images/hotel5_sample2,images/hotel5_correct,images/hotel5_sample3,images/hotel5_sample4,images/hotel5_correct,,,,,,,,,,,,0,2,2,4,51.50561154191382,,,,,,,,,,51.50049408292398,0.43040129204746336,51.50561154191382,51.50561154191382,51.50561154191382,51.50561154191382,51.50561154191382,51.50561154191382,51.50561154191382,,,,,,,,,,,,,,,,,,,,,,
