thisN,thisTrialN,thisRepN,hotel_query,choice1,choice2,choice3,choice4,choice5,correct_answer,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,colorBlock.thisRepN,colorBlock.thisTrialN,colorBlock.thisN,colorBlock.thisIndex,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,thisRow.t,notes,assigned_group,WelcomeScreen.started,textWelcomeMessage.started,key_Continue.started,WelcomeScreen.stopped,key_Continue.keys,key_Continue.rt,key_Continue.duration,trialColor.started,mouse.started,imageQuery.started,image1.started,image2.started,image3.started,image4.started,image5.started,queryCaption.started,clicked_image,isCorrect,trialColor.stopped,trialsColor.mouse.x,trialsColor.mouse.y,trialsColor.mouse.leftButton,trialsColor.mouse.midButton,trialsColor.mouse.rightButton,trialsColor.mouse.time,trialsColor.mouse.clicked_name,blank500.started,text.started,text.stopped,blank500.stopped,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,color_only,0.027219124953262508,0.050772625021636486,0.050772625021636486,0.9704932910390198,space,0.7172944999765605,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-18_11h44.29.300,mock_study,,2025.1.1,2025-06-18 11h44.32.931278 -0400,
0,0,0,images/hotel2_query,images/hotel2_sample1,images/hotel2_correct,images/hotel2_sample2,images/hotel2_sample3,images/hotel2_sample4,images/hotel2_correct,"[np.float64(0.09027777777777778), np.float64(-0.2916666666666667)]","[np.float64(0.3625), np.float64(-0.22083333333333333)]","[1, 1]","[0, 0]","[0, 0]","[1.0994272090028971, 3.964766666991636]","[None, 'image1']",0,0,0,0,0,0,0,1,1.0295604160055518,,,,,,,,,,1.01653162506409,0.046046208939515054,1.0295604160055518,1.0295604160055518,1.0295604160055518,1.0295604160055518,1.0295604160055518,1.0295604160055518,1.0295604160055518,images/hotel2_sample1,0,4.981705290963873,"[np.float64(0.09027777777777778), np.float64(-0.2916666666666667)]","[np.float64(0.3625), np.float64(-0.22083333333333333)]","[1, 1]","[0, 0]","[0, 0]","[1.0994272090028971, 3.964766666991636]","[None, 'image1']",4.981943165999837,4.987492999993265,6.047716457978822,5.972356499987654,,001,2025-06-18_11h44.29.300,mock_study,,2025.1.1,2025-06-18 11h44.32.931278 -0400,
1,1,0,images/hotel4_query,images/hotel4_sample1,images/hotel4_sample2,images/hotel4_sample3,images/hotel4_sample4,images/hotel4_correct,images/hotel4_correct,[np.float64(0.4930555555555556)],[np.float64(-0.12361111111111112)],[1],[0],[0],[1.6795228329719976],['image5'],0,0,0,0,0,1,1,3,6.047716457978822,,,,,,,,,,6.0433433330617845,0.06145520799327642,6.047716457978822,6.047716457978822,6.047716457978822,6.047716457978822,6.047716457978822,6.047716457978822,6.047716457978822,images/hotel4_correct,1,7.723436041036621,[np.float64(0.4930555555555556)],[np.float64(-0.12361111111111112)],[1],[0],[0],[1.6795228329719976],['image5'],7.723575916024856,7.729428624967113,8.839368790970184,8.71405379101634,,001,2025-06-18_11h44.29.300,mock_study,,2025.1.1,2025-06-18 11h44.32.931278 -0400,
2,2,0,images/hotel1_query,images/hotel1_sample1,images/hotel1_sample2,images/hotel1_sample4,images/hotel1_correct,images/hotel1_sample3,images/hotel1_correct,[np.float64(0.20694444444444443)],[np.float64(-0.16527777777777777)],[1],[0],[0],[1.8879998330958188],['image4'],0,0,0,0,0,2,2,0,8.839368790970184,,,,,,,,,,8.835328500019386,0.11179499991703779,8.839368790970184,8.839368790970184,8.839368790970184,8.839368790970184,8.839368790970184,8.839368790970184,8.839368790970184,images/hotel1_correct,1,10.723843540996313,[np.float64(0.20694444444444443)],[np.float64(-0.16527777777777777)],[1],[0],[0],[1.8879998330958188],['image4'],10.723979832953773,10.729216875042766,12.163349749986082,11.713746375055052,,001,2025-06-18_11h44.29.300,mock_study,,2025.1.1,2025-06-18 11h44.32.931278 -0400,
3,3,0,images/hotel5_query,images/hotel5_sample1,images/hotel5_sample2,images/hotel5_correct,images/hotel5_sample3,images/hotel5_sample4,images/hotel5_correct,[np.float64(0.6930555555555555)],[np.float64(0.058333333333333334)],[1],[0],[0],[15.814582624938339],['image3'],0,0,0,0,0,3,3,4,12.163349749986082,,,,,,,,,,12.154836707981303,0.4309011670993641,12.163349749986082,12.163349749986082,12.163349749986082,12.163349749986082,12.163349749986082,12.163349749986082,12.163349749986082,images/hotel5_correct,1,27.970082915970124,[np.float64(0.6930555555555555)],[np.float64(0.058333333333333334)],[1],[0],[0],[15.814582624938339],['image3'],27.970258750021458,27.97644608304836,,28.972972291056067,,001,2025-06-18_11h44.29.300,mock_study,,2025.1.1,2025-06-18 11h44.32.931278 -0400,
4,4,0,images/hotel3_query,images/hotel3_correct,images/hotel3_sample1,images/hotel3_sample2,images/hotel3_sample3,images/hotel3_sample4,images/hotel3_correct,,,,,,,,,,,,0,4,4,2,29.148398541030474,,,,,,,,,,29.143037208006717,0.17282754194457084,29.148398541030474,29.148398541030474,29.148398541030474,29.148398541030474,29.148398541030474,29.148398541030474,29.148398541030474,,,,,,,,,,,,,,,,,,,,,,
