thisN,thisTrialN,thisRepN,hotel_query,choice1,choice2,choice3,choice4,choice5,correct_answer,gray1,gray2,gray3,gray4,gray5,key_NextScreen.keys,key_NextScreen.rt,key_NextScreen.duration,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,toggle_button.numClicks,toggle_button.timesOn,toggle_button.timesOff,colorBlock.thisRepN,colorBlock.thisTrialN,colorBlock.thisN,colorBlock.thisIndex,grayBlock.thisRepN,grayBlock.thisTrialN,grayBlock.thisN,grayBlock.thisIndex,bothBlock.thisRepN,bothBlock.thisTrialN,bothBlock.thisN,bothBlock.thisIndex,trialsGray_Color.thisRepN,trialsGray_Color.thisTrialN,trialsGray_Color.thisN,trialsGray_Color.thisIndex,thisRow.t,notes,assigned_group,WelcomeScreen.started,textWelcomeMessage.started,key_Continue.started,WelcomeScreen.stopped,key_Continue.keys,key_Continue.rt,key_Continue.duration,NextScreen.started,textNextScreen.started,key_NextScreen.started,NextScreen.stopped,bothBlock.key_NextScreen.keys,bothBlock.key_NextScreen.rt,bothBlock.key_NextScreen.duration,trialColor_Gray.started,mouse_2.started,imageQuery_2.started,image1_2.started,image2_2.started,image3_2.started,image4_2.started,image5_2.started,toggle_button.started,queryCaption_GC.started,trialColor_Gray.stopped,trialsGray_Color.mouse_2.x,trialsGray_Color.mouse_2.y,trialsGray_Color.mouse_2.leftButton,trialsGray_Color.mouse_2.midButton,trialsGray_Color.mouse_2.rightButton,trialsGray_Color.mouse_2.time,trialsGray_Color.mouse_2.clicked_name,trialsGray_Color.toggle_button.numClicks,trialsGray_Color.toggle_button.timesOn,trialsGray_Color.toggle_button.timesOff,blank500.started,text.started,text.stopped,blank500.stopped,confidenceScreen.started,text_confidenceQuestion.started,slider.started,buttonAdvance.started,confidenceScreen.stopped,bothBlock.slider.response,bothBlock.slider.rt,bothBlock.buttonAdvance.numClicks,bothBlock.buttonAdvance.timesOn,bothBlock.buttonAdvance.timesOff,EndScreen.started,textEndMessage.started,textEndMessage.stopped,EndScreen.stopped,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,both_blocks,0.023158582975156605,0.04958541598170996,0.04958541598170996,1.3834332500118762,space,1.1448960410198197,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-18_12h47.42.836,mock_study,,2025.1.1,2025-06-18 12h47.47.703199 -0400,
0,0,0,images/hotel5_query,images/hotel5_sample1,images/hotel5_sample2,images/hotel5_correct,images/hotel5_sample3,images/hotel5_sample4,images/hotel5_correct,images/hotel5_gray1,images/hotel5_gray2,images/hotel5_correctGray,images/hotel5_gray3,images/hotel5_gray4,space,3.007823041989468,None,"[np.float64(-0.43333333333333335), np.float64(-0.43333333333333335), np.float64(-0.43333333333333335), np.float64(-0.43333333333333335), np.float64(-0.37083333333333335), np.float64(-0.37083333333333335), np.float64(-0.37083333333333335), np.float64(-0.37083333333333335), np.float64(0.18194444444444444)]","[np.float64(-0.39861111111111114), np.float64(-0.39861111111111114), np.float64(-0.39861111111111114), np.float64(-0.39861111111111114), np.float64(-0.39861111111111114), np.float64(-0.39861111111111114), np.float64(-0.39861111111111114), np.float64(-0.39861111111111114), np.float64(0.1625)]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[3.2324772499268875, 3.914477957994677, 4.548470082925633, 5.377538457978517, 6.19210295798257, 6.831151125021279, 7.574174665962346, 8.075719082960859, 10.684015500009991]","[None, None, None, None, None, None, None, None, 'image2']",8,"[3.219940207898617, 3.9019414999056607, 4.535975915961899, 5.365632124943659, 6.179636040935293, 6.8186142079066485, 7.561656832927838, 8.063240374904126]","[3.219944874988869, 3.9019469999475405, 4.535981916007586, 5.365639957948588, 6.179641749942675, 6.81862008292228, 7.561662332969718, 8.06324562500231]",,,,,,,,,0,0,0,0,0,0,0,4,5.164267875021324,,,,,,,,,,1.384054083027877,1.3935696660773829,1.3935696660773829,4.405268541071564,space,3.007823041989468,None,5.15156470797956,0.7462074169889092,5.164267875021324,5.164267875021324,5.164267875021324,5.164267875021324,5.164267875021324,5.164267875021324,5.164267875021324,5.164267875021324,15.83618674997706,"[np.float64(-0.43333333333333335), np.float64(-0.43333333333333335), np.float64(-0.43333333333333335), np.float64(-0.43333333333333335), np.float64(-0.37083333333333335), np.float64(-0.37083333333333335), np.float64(-0.37083333333333335), np.float64(-0.37083333333333335), np.float64(0.18194444444444444)]","[np.float64(-0.39861111111111114), np.float64(-0.39861111111111114), np.float64(-0.39861111111111114), np.float64(-0.39861111111111114), np.float64(-0.39861111111111114), np.float64(-0.39861111111111114), np.float64(-0.39861111111111114), np.float64(-0.39861111111111114), np.float64(0.1625)]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[3.2324772499268875, 3.914477957994677, 4.548470082925633, 5.377538457978517, 6.19210295798257, 6.831151125021279, 7.574174665962346, 8.075719082960859, 10.684015500009991]","[None, None, None, None, None, None, None, None, 'image2']",8,"[3.219940207898617, 3.9019414999056607, 4.535975915961899, 5.365632124943659, 6.179636040935293, 6.8186142079066485, 7.561656832927838, 8.063240374904126]","[3.219944874988869, 3.9019469999475405, 4.535981916007586, 5.365639957948588, 6.179641749942675, 6.81862008292228, 7.561662332969718, 8.06324562500231]",15.836610083002597,15.84807795798406,17.080766499973834,16.834373166086152,,,,,,,,,,,,,,,,001,2025-06-18_12h47.42.836,mock_study,,2025.1.1,2025-06-18 12h47.47.703199 -0400,
1,1,0,images/hotel3_query,images/hotel3_correct,images/hotel3_sample1,images/hotel3_sample2,images/hotel3_sample3,images/hotel3_sample4,images/hotel3_correct,images/hotel3_correctGray,images/hotel3_gray1,images/hotel3_gray2,images/hotel3_gray3,images/hotel3_gray4,space,3.007823041989468,None,"[np.float64(-0.5638888888888889), np.float64(-0.5638888888888889), np.float64(0.15138888888888888)]","[np.float64(-0.4361111111111111), np.float64(-0.4361111111111111), np.float64(-0.18611111111111112)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.816238334053196, 1.136443292023614, 1.6296318749664351]","[None, None, 'image4']",2,"[0.8112734169699252, 1.1315124589018524]","[0.8878237919416279, 1.1315177499782294]",,,,,,,,,0,0,0,0,0,1,1,2,17.080766499973834,,,,,,,,,,,,,,,,,17.075624041026458,0.2390640830853954,17.080766499973834,17.080766499973834,17.080766499973834,17.080766499973834,17.080766499973834,17.080766499973834,17.080766499973834,17.080766499973834,18.705887750023976,"[np.float64(-0.5638888888888889), np.float64(-0.5638888888888889), np.float64(0.15138888888888888)]","[np.float64(-0.4361111111111111), np.float64(-0.4361111111111111), np.float64(-0.18611111111111112)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.816238334053196, 1.136443292023614, 1.6296318749664351]","[None, None, 'image4']",2,"[0.8112734169699252, 1.1315124589018524]","[0.8878237919416279, 1.1315177499782294]",18.706084750010632,18.70814258302562,19.78185379097704,19.69134820799809,,,,,,,,,,,,,,,,001,2025-06-18_12h47.42.836,mock_study,,2025.1.1,2025-06-18 12h47.47.703199 -0400,
2,2,0,images/hotel2_query,images/hotel2_sample1,images/hotel2_correct,images/hotel2_sample2,images/hotel2_sample3,images/hotel2_sample4,images/hotel2_correct,images/hotel2_gray1,images/hotel2_correctGray,images/hotel2_gray2,images/hotel2_gray3,images/hotel2_gray4,space,3.007823041989468,None,"[np.float64(-0.3902777777777778), np.float64(-0.3902777777777778), np.float64(0.10694444444444444)]","[np.float64(-0.37916666666666665), np.float64(-0.37916666666666665), np.float64(0.058333333333333334)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.3472575410269201, 0.5569607500219718, 1.13949249999132]","[None, None, 'image2']",2,"[0.3423950420692563, 0.552201334037818]","[0.41160633403342217, 0.6115547920344397]",,,,,,,,,0,0,0,0,0,2,2,1,19.78185379097704,,,,,,,,,,,,,,,,,19.776850000023842,0.07080837502144277,19.78185379097704,19.78185379097704,19.78185379097704,19.78185379097704,19.78185379097704,19.78185379097704,19.78185379097704,19.78185379097704,20.916877040988766,"[np.float64(-0.3902777777777778), np.float64(-0.3902777777777778), np.float64(0.10694444444444444)]","[np.float64(-0.37916666666666665), np.float64(-0.37916666666666665), np.float64(0.058333333333333334)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.3472575410269201, 0.5569607500219718, 1.13949249999132]","[None, None, 'image2']",2,"[0.3423950420692563, 0.552201334037818]","[0.41160633403342217, 0.6115547920344397]",20.917054207995534,20.92273741599638,22.003103540977463,21.906802500016056,,,,,,,,,,,,,,,,001,2025-06-18_12h47.42.836,mock_study,,2025.1.1,2025-06-18 12h47.47.703199 -0400,
3,3,0,images/hotel4_query,images/hotel4_sample1,images/hotel4_sample2,images/hotel4_sample3,images/hotel4_sample4,images/hotel4_correct,images/hotel4_correct,images/hotel4_gray1,images/hotel4_gray2,images/hotel4_gray3,images/hotel4_gray4,images/hotel4_correctGray,space,3.007823041989468,None,"[np.float64(-0.3958333333333333), np.float64(-0.3958333333333333), np.float64(0.5736111111111111)]","[np.float64(-0.41388888888888886), np.float64(-0.41388888888888886), np.float64(-0.1986111111111111)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.2801630840403959, 0.4636360420845449, 1.0678218340035528]","[None, None, 'image5']",2,"[0.2757665829267353, 0.4587761659640819]","[0.3450269579188898, 0.5365255000069737]",,,,,,,,,0,0,0,0,0,3,3,3,22.003103540977463,,,,,,,,,,,,,,,,,21.998071458074264,0.08105675003025681,22.003103540977463,22.003103540977463,22.003103540977463,22.003103540977463,22.003103540977463,22.003103540977463,22.003103540977463,22.003103540977463,23.066396665992215,"[np.float64(-0.3958333333333333), np.float64(-0.3958333333333333), np.float64(0.5736111111111111)]","[np.float64(-0.41388888888888886), np.float64(-0.41388888888888886), np.float64(-0.1986111111111111)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.2801630840403959, 0.4636360420845449, 1.0678218340035528]","[None, None, 'image5']",2,"[0.2757665829267353, 0.4587761659640819]","[0.3450269579188898, 0.5365255000069737]",23.066565291024745,23.068652749992907,24.22526908305008,24.066460583009757,,,,,,,,,,,,,,,,001,2025-06-18_12h47.42.836,mock_study,,2025.1.1,2025-06-18 12h47.47.703199 -0400,
4,4,0,images/hotel1_query,images/hotel1_sample1,images/hotel1_sample2,images/hotel1_sample3,images/hotel1_correct,images/hotel1_sample4,images/hotel1_correct,images/hotel1_gray1,images/hotel1_gray2,images/hotel1_gray3,images/hotel1_correctGray,images/hotel1_gray4,space,3.007823041989468,None,"[np.float64(-0.43333333333333335), np.float64(-0.43333333333333335), np.float64(0.5791666666666667)]","[np.float64(-0.425), np.float64(-0.425), np.float64(0.16666666666666666)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.2037292500026524, 0.4214342910563573, 1.0127458330243826]","[None, None, 'image3']",2,"[0.19881733297370374, 0.416528332978487]","[0.2976374579593539, 0.489295290899463]",,,,,,,,,0,0,0,0,0,4,4,0,24.22526908305008,,,,,,,,,,,,,,,,,24.22012700000778,0.15360983298160136,24.22526908305008,24.22526908305008,24.22526908305008,24.22526908305008,24.22526908305008,24.22526908305008,24.22526908305008,24.22526908305008,25.233413833077066,"[np.float64(-0.43333333333333335), np.float64(-0.43333333333333335), np.float64(0.5791666666666667)]","[np.float64(-0.425), np.float64(-0.425), np.float64(0.16666666666666666)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.2037292500026524, 0.4214342910563573, 1.0127458330243826]","[None, None, 'image3']",2,"[0.19881733297370374, 0.416528332978487]","[0.2976374579593539, 0.489295290899463]",25.233593165990897,25.235730790998787,26.26095487503335,26.225445333053358,,,,,,,,,,,,,,,,001,2025-06-18_12h47.42.836,mock_study,,2025.1.1,2025-06-18 12h47.47.703199 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.234983750036918,26.26095487503335,26.26095487503335,26.26095487503335,27.902381957974285,3.0,1.1271069169742987,1,[1.6408008330035955],[1.6408047920558602],27.902474208036438,27.91444979107473,32.90011845808476,32.89847050001845,,001,2025-06-18_12h47.42.836,mock_study,,2025.1.1,2025-06-18 12h47.47.703199 -0400,
