thisN,thisTrialN,thisRepN,hotel_query,choice1,choice2,choice3,choice4,choice5,correct_answer,gray1,gray2,gray3,gray4,gray5,key_NextScreen.keys,key_NextScreen.rt,key_NextScreen.duration,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,toggle_button.numClicks,toggle_button.timesOn,toggle_button.timesOff,colorBlock.thisRepN,colorBlock.thisTrialN,colorBlock.thisN,colorBlock.thisIndex,grayBlock.thisRepN,grayBlock.thisTrialN,grayBlock.thisN,grayBlock.thisIndex,bothBlock.thisRepN,bothBlock.thisTrialN,bothBlock.thisN,bothBlock.thisIndex,trialsGray_Color.thisRepN,trialsGray_Color.thisTrialN,trialsGray_Color.thisN,trialsGray_Color.thisIndex,thisRow.t,notes,assigned_group,WelcomeScreen.started,textWelcomeMessage.started,key_Continue.started,WelcomeScreen.stopped,key_Continue.keys,key_Continue.rt,key_Continue.duration,NextScreen.started,textNextScreen.started,key_NextScreen.started,NextScreen.stopped,bothBlock.key_NextScreen.keys,bothBlock.key_NextScreen.rt,bothBlock.key_NextScreen.duration,trialColor_Gray.started,mouse_2.started,imageQuery_2.started,image1_2.started,image2_2.started,image3_2.started,image4_2.started,image5_2.started,toggle_button.started,queryCaption_GC.started,clicked_image,isCorrect,trialColor_Gray.stopped,trialsGray_Color.mouse_2.x,trialsGray_Color.mouse_2.y,trialsGray_Color.mouse_2.leftButton,trialsGray_Color.mouse_2.midButton,trialsGray_Color.mouse_2.rightButton,trialsGray_Color.mouse_2.time,trialsGray_Color.mouse_2.clicked_name,trialsGray_Color.toggle_button.numClicks,trialsGray_Color.toggle_button.timesOn,trialsGray_Color.toggle_button.timesOff,blank500.started,text.started,text.stopped,blank500.stopped,confidenceScreen.started,text_confidenceQuestion.started,slider.started,buttonAdvance.started,confidenceScreen.stopped,bothBlock.slider.response,bothBlock.slider.rt,bothBlock.buttonAdvance.numClicks,bothBlock.buttonAdvance.timesOn,bothBlock.buttonAdvance.timesOff,EndScreen.started,textEndMessage.started,textEndMessage.stopped,EndScreen.stopped,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,both_blocks,0.019110333058051765,0.038131500012241304,0.038131500012241304,1.6231110830558464,space,1.403365541016683,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-18_16h34.34.833,mock_study,,2025.1.1,2025-06-18 16h34.38.109305 -0400,
0,0,0,images/hotel5_query.jpg,images/hotel5_sample1.jpg,images/hotel5_sample2.jpg,images/hotel5_correct.jpg,images/hotel5_sample3.png,images/hotel5_sample4.jpg,images/hotel5_correct.jpg,images/hotel5_gray1.jpg,images/hotel5_gray2.jpg,images/hotel5_correctGray.jpg,images/hotel5_gray3.png,images/hotel5_gray4.jpg,space,1.106756833032705,None,"[np.float64(-0.36666666666666664), np.float64(-0.4), np.float64(0.12361111111111112)]","[np.float64(-0.3902777777777778), np.float64(-0.3958333333333333), np.float64(-0.23333333333333334)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[20.31726837507449, 28.44187854102347, 29.891199375037104]","[None, None, 'image4']",2,"[20.301191583042964, 28.42583404108882]","[20.301195666077547, 28.42583862505853]",,,,,,,,,0,0,0,0,0,0,0,4,3.53401925007347,,,,,,,,,,1.6236647079931572,1.634820832987316,1.634820832987316,2.752340417006053,space,1.106756833032705,None,3.5175987080438063,0.7651969579746947,3.53401925007347,3.53401925007347,3.53401925007347,3.53401925007347,3.53401925007347,3.53401925007347,3.53401925007347,3.53401925007347,images/hotel5_sample3.png,0,33.40965279203374,"[np.float64(-0.36666666666666664), np.float64(-0.4), np.float64(0.12361111111111112)]","[np.float64(-0.3902777777777778), np.float64(-0.3958333333333333), np.float64(-0.23333333333333334)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[20.31726837507449, 28.44187854102347, 29.891199375037104]","[None, None, 'image4']",2,"[20.301191583042964, 28.42583404108882]","[20.301195666077547, 28.42583862505853]",33.409906874992885,33.41587479203008,34.49717995803803,34.40074462501798,,,,,,,,,,,,,,,,001,2025-06-18_16h34.34.833,mock_study,,2025.1.1,2025-06-18 16h34.38.109305 -0400,
1,1,0,images/hotel2_query.jpg,images/hotel2_sample1.JPEG,images/hotel2_correct.jpg,images/hotel2_sample2.jpg,images/hotel2_sample3.jpg,images/hotel2_sample4.jpeg,images/hotel2_correct.jpg,images/hotel2_gray1.JPEG,images/hotel2_correctGray.jpg,images/hotel2_gray2.jpg,images/hotel2_gray3.jpg,images/hotel2_gray4.jpeg,space,1.106756833032705,None,[np.float64(0.06944444444444445)],[np.float64(0.09861111111111111)],[1],[0],[0],[0.6175634170649573],['image2'],0,,,,,,,,,,,0,0,0,0,0,1,1,1,34.49717995803803,,,,,,,,,,,,,,,,,34.49170833302196,0.08184120804071426,34.49717995803803,34.49717995803803,34.49717995803803,34.49717995803803,34.49717995803803,34.49717995803803,34.49717995803803,34.49717995803803,images/hotel2_correct.jpg,1,35.109925333061256,[np.float64(0.06944444444444445)],[np.float64(0.09861111111111111)],[1],[0],[0],[0.6175634170649573],['image2'],0,,,35.11003716697451,35.11590025003534,36.33827116701286,36.100739250076,,,,,,,,,,,,,,,,001,2025-06-18_16h34.34.833,mock_study,,2025.1.1,2025-06-18 16h34.38.109305 -0400,
2,2,0,images/hotel3_query.jpg,images/hotel3_correct.jpg,images/hotel3_sample1.jpg,images/hotel3_sample2.jpeg,images/hotel3_sample3.jpg,images/hotel3_sample4.jpg,images/hotel3_correct.jpg,images/hotel3_correctGray.jpg,images/hotel3_gray1.jpg,images/hotel3_gray2.jpeg,images/hotel3_gray3.jpg,images/hotel3_gray4.jpg,space,1.106756833032705,None,[np.float64(0.06944444444444445)],[np.float64(0.09861111111111111)],[1],[0],[0],[0.4408902080031112],['image2'],0,,,,,,,,,,,0,0,0,0,0,2,2,2,36.33827116701286,,,,,,,,,,,,,,,,,36.332713457988575,0.2227243329398334,36.33827116701286,36.33827116701286,36.33827116701286,36.33827116701286,36.33827116701286,36.33827116701286,36.33827116701286,36.33827116701286,images/hotel3_sample1.jpg,0,36.7744604999898,[np.float64(0.06944444444444445)],[np.float64(0.09861111111111111)],[1],[0],[0],[0.4408902080031112],['image2'],0,,,36.774611708009616,36.77682241704315,37.85842408298049,37.76057470799424,,,,,,,,,,,,,,,,001,2025-06-18_16h34.34.833,mock_study,,2025.1.1,2025-06-18 16h34.38.109305 -0400,
3,3,0,images/hotel4_query.jpg,images/hotel4_sample1.jpg,images/hotel4_sample2.jpg,images/hotel4_sample3.jpg,images/hotel4_sample4.jpg,images/hotel4_correct.jpg,images/hotel4_correct.jpg,images/hotel4_gray1.jpg,images/hotel4_gray2.jpg,images/hotel4_gray3.jpg,images/hotel4_gray4.jpg,images/hotel4_correctGray.jpg,space,1.106756833032705,None,[np.float64(0.06944444444444445)],[np.float64(0.09861111111111111)],[1],[0],[0],[0.6399259170284495],['image2'],0,,,,,,,,,,,0,0,0,0,0,3,3,3,37.85842408298049,,,,,,,,,,,,,,,,,37.85304525005631,0.07851008302532136,37.85842408298049,37.85842408298049,37.85842408298049,37.85842408298049,37.85842408298049,37.85842408298049,37.85842408298049,37.85842408298049,images/hotel4_sample2.jpg,0,38.49371087504551,[np.float64(0.06944444444444445)],[np.float64(0.09861111111111111)],[1],[0],[0],[0.6399259170284495],['image2'],0,,,38.49382229207549,38.495955917052925,39.63194612506777,39.47933754196856,,,,,,,,,,,,,,,,001,2025-06-18_16h34.34.833,mock_study,,2025.1.1,2025-06-18 16h34.38.109305 -0400,
4,4,0,images/hotel1_query.jpg,images/hotel1_sample1.jpg,images/hotel1_sample2.jpeg,images/hotel1_sample3.jpg,images/hotel1_correct.jpg,images/hotel1_sample4.jpg,images/hotel1_correct.jpg,images/hotel1_gray1.jpg,images/hotel1_gray2.jpeg,images/hotel1_gray3.jpg,images/hotel1_correctGray.jpg,images/hotel1_gray4.jpg,space,1.106756833032705,None,[np.float64(0.06944444444444445)],[np.float64(0.09861111111111111)],[1],[0],[0],[0.46332083304878324],['image2'],0,,,,,,,,,,,0,0,0,0,0,4,4,0,39.63194612506777,,,,,,,,,,,,,,,,,39.62673345801886,0.1329487090697512,39.63194612506777,39.63194612506777,39.63194612506777,39.63194612506777,39.63194612506777,39.63194612506777,39.63194612506777,39.63194612506777,images/hotel1_sample2.jpeg,0,40.09330404200591,[np.float64(0.06944444444444445)],[np.float64(0.09861111111111111)],[1],[0],[0],[0.46332083304878324],['image2'],0,,,40.0934401670238,40.09556100005284,41.114472083048895,41.08051175007131,,,,,,,,,,,,,,,,001,2025-06-18_16h34.34.833,mock_study,,2025.1.1,2025-06-18 16h34.38.109305 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.08804979198612,41.114472083048895,41.114472083048895,41.114472083048895,47.49076033302117,4.0,1.361145208007656,1,[6.375433917040937],[6.375437458977103],47.49088212498464,47.49343879206572,52.4933660000097,52.478653333033435,,001,2025-06-18_16h34.34.833,mock_study,,2025.1.1,2025-06-18 16h34.38.109305 -0400,
