thisN,thisTrialN,thisRepN,hotel_query,choice1,choice2,choice3,choice4,choice5,correct_answer,colorBlock.thisRepN,colorBlock.thisTrialN,colorBlock.thisN,colorBlock.thisIndex,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,thisRow.t,notes,assigned_group,WelcomeScreen.started,textWelcomeMessage.started,key_Continue.started,WelcomeScreen.stopped,key_Continue.keys,key_Continue.rt,key_Continue.duration,trialColor.started,mouse.started,imageQuery.started,image1.started,image2.started,image3.started,image4.started,image5.started,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,color_only,0.08928416599519551,0.2698151250369847,0.2698151250369847,3.862748165964149,space,3.5895337919937447,None,,,,,,,,,,001,2025-06-18_10h38.06.666,mock_study,,2025.1.1,2025-06-18 10h38.08.721092 -0400,
0,0,0,images/hotel1_query,images/hotel1_sample1,images/hotel1_sample2,images/hotel1_sample4,images/hotel1_correct,images/hotel1_sample3,images/hotel1_correct,0,0,0,0,0,0,0,0,3.9851918750209734,,,,,,,,,,3.97494495799765,0.1121799589600414,3.9851918750209734,3.9851918750209734,3.9851918750209734,3.9851918750209734,3.9851918750209734,3.9851918750209734,,,,,,,,
