colorBlock.thisRepN,colorBlock.thisTrialN,colorBlock.thisN,colorBlock.thisIndex,grayBlock.thisRepN,grayBlock.thisTrialN,grayBlock.thisN,grayBlock.thisIndex,bothBlock.thisRepN,bothBlock.thisTrialN,bothBlock.thisN,bothBlock.thisIndex,thisRow.t,notes,assigned_group,WelcomeScreen.started,textWelcomeMessage.started,key_Continue.started,WelcomeScreen.stopped,key_Continue.keys,key_Continue.rt,key_Continue.duration,EndScreen.started,textEndMessage.started,textEndMessage.stopped,EndScreen.stopped,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,grayscale_only,0.02631800004746765,0.06295991700608283,0.06295991700608283,2.6237044170266017,space,2.3724530829349533,None,,,,,,001,2025-06-18_16h33.55.887,mock_study,,2025.1.1,2025-06-18 16h34.07.651261 -0400,
,,,,,,,,,,,,,,,,,,,,,,2.6240612500114366,2.6314060000004247,7.623681917088106,7.620203584083356,,001,2025-06-18_16h33.55.887,mock_study,,2025.1.1,2025-06-18 16h34.07.651261 -0400,
