query_image,choice1,choice2,choice3,choice4,choice5,correct_answer,gray1,gray2,gray3,gray4,gray5,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcomeMessage.started,key_Continue.started,WelcomeScreen.stopped,key_Continue.keys,key_Continue.rt,key_Continue.duration,trialColor.started,mouse.started,imageQuery.started,image1.started,image2.started,image3.started,image4.started,image5.started,trialColor.stopped,trialsColor.mouse.x,trialsColor.mouse.y,trialsColor.mouse.leftButton,trialsColor.mouse.midButton,trialsColor.mouse.rightButton,trialsColor.mouse.time,trialsColor.mouse.corr,trialsColor.mouse.clicked_name,blank500.started,text.started,text.stopped,blank500.stopped,NextScreen.started,textNextScreen.started,key_NextScreen.started,NextScreen.stopped,key_NextScreen.keys,key_NextScreen.rt,key_NextScreen.duration,trialGrayscale.started,mouse_2.started,imageQuery_2.started,image1_2.started,image2_2.started,image3_2.started,image4_2.started,image5_2.started,toggle_button.started,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02282766706775874,0.043589500011876225,0.043589500011876225,1.4900320830056444,space,1.2720397079829127,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-17_12h19.47.954,mock_study,,2025.1.1,2025-06-17 12h19.57.490280 -0400,
images/grape.png,images/kiwi.png,images/orange.png,images/grape.png,images/banana.png,images/apple.png,image3,images/kiwi_gray.png,images/orange_gray.png,images/grape_gray.png,images/banana_gray.png,images/apple_gray.png,0,0,0,[np.float64(0.5805555555555556)],[np.float64(0.16666666666666666)],[1],[0],[0],[1.190867165918462],[1],['image3'],0,0,0,0,,,,,1.6237962080631405,,,,,,,,,1.61207508307416,0.12205962499137968,1.6237962080631405,1.6237962080631405,1.6237962080631405,1.6237962080631405,1.6237962080631405,1.6237962080631405,2.8031520830700174,[np.float64(0.5805555555555556)],[np.float64(0.16666666666666666)],[1],[0],[0],[1.190867165918462],[1],['image3'],2.8034072919981554,2.807265333016403,3.953155583003536,3.796124333050102,,,,,,,,,,,,,,,,,,001,2025-06-17_12h19.47.954,mock_study,,2025.1.1,2025-06-17 12h19.57.490280 -0400,
images/kiwi.png,images/kiwi.png,images/apple.png,images/grape.png,images/banana.png,images/orange.png,image1,images/kiwi_gray.png,images/apple_gray.png,images/grape_gray.png,images/banana_gray.png,images/orange_gray.png,1,1,0,[np.float64(-0.013888888888888888)],[np.float64(0.17222222222222222)],[1],[0],[0],[0.7254215420689434],[1],['image1'],0,1,1,1,,,,,3.953155583003536,,,,,,,,,3.9493047080468386,0.14594629092607647,3.953155583003536,3.953155583003536,3.953155583003536,3.953155583003536,3.953155583003536,3.953155583003536,4.674882416962646,[np.float64(-0.013888888888888888)],[np.float64(0.17222222222222222)],[1],[0],[0],[0.7254215420689434],[1],['image1'],4.675026583019644,4.694878000067547,,5.679636875051074,,,,,,,,,,,,,,,,,,001,2025-06-17_12h19.47.954,mock_study,,2025.1.1,2025-06-17 12h19.57.490280 -0400,
images/orange.png,images/banana.png,images/apple.png,images/kiwi.png,images/grape.png,images/orange.png,image5,images/banana_gray.png,images/apple_gray.png,images/kiwi_gray.png,images/grape_gray.png,images/orange_gray.png,2,2,0,[np.float64(0.3486111111111111)],[np.float64(-0.2)],[1],[0],[0],[0.9403292090864852],[1],['image5'],0,2,2,4,,,,,5.8200628330232576,,,,,,,,,5.817038416978903,0.14205116697121412,5.8200628330232576,5.8200628330232576,5.8200628330232576,5.8200628330232576,5.8200628330232576,5.8200628330232576,6.7575552080525085,[np.float64(0.3486111111111111)],[np.float64(-0.2)],[1],[0],[0],[0.9403292090864852],[1],['image5'],6.757733375066891,6.769311874988489,7.953650125069544,7.754027292015962,,,,,,,,,,,,,,,,,,001,2025-06-17_12h19.47.954,mock_study,,2025.1.1,2025-06-17 12h19.57.490280 -0400,
images/banana.png,images/apple.png,images/banana.png,images/orange.png,images/kiwi.png,images/grape.png,image2,images/apple_gray.png,images/banana_gray.png,images/orange_gray.png,images/kiwi_gray.png,images/grape_gray.png,3,3,0,[np.float64(0.30416666666666664)],[np.float64(0.22083333333333333)],[1],[0],[0],[0.7918679170543328],[1],['image2'],0,3,3,2,,,,,7.953650125069544,,,,,,,,,7.950237208046019,0.19254912505857646,7.953650125069544,7.953650125069544,7.953650125069544,7.953650125069544,7.953650125069544,7.953650125069544,8.742234833072871,[np.float64(0.30416666666666664)],[np.float64(0.22083333333333333)],[1],[0],[0],[0.7918679170543328],[1],['image2'],8.742384625016712,8.746438374975696,9.875311042065732,9.735907208058052,,,,,,,,,,,,,,,,,,001,2025-06-17_12h19.47.954,mock_study,,2025.1.1,2025-06-17 12h19.57.490280 -0400,
images/apple.png,images/orange.png,images/apple.png,images/grape.png,images/banana.png,images/kiwi.png,image2,images/orange_gray.png,images/apple_gray.png,images/grape_gray.png,images/banana_gray.png,images/kiwi_gray.png,4,4,0,[np.float64(0.30416666666666664)],[np.float64(0.22083333333333333)],[1],[0],[0],[0.5252057500183582],[1],['image2'],0,4,4,3,,,,,9.875311042065732,,,,,,,,,9.871923082973808,0.1295839169761166,9.875311042065732,9.875311042065732,9.875311042065732,9.875311042065732,9.875311042065732,9.875311042065732,10.397295832983218,[np.float64(0.30416666666666664)],[np.float64(0.22083333333333333)],[1],[0],[0],[0.5252057500183582],[1],['image2'],10.397448000032455,10.40237625001464,11.393916417029686,11.387492874986492,,,,,,,,,,,,,,,,,,001,2025-06-17_12h19.47.954,mock_study,,2025.1.1,2025-06-17 12h19.57.490280 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.38770745799411,11.393916417029686,11.393916417029686,49.31570466700941,space,37.91638275003061,None,,,,,,,,,,,001,2025-06-17_12h19.47.954,mock_study,,2025.1.1,2025-06-17 12h19.57.490280 -0400,
images/grape.png,images/kiwi.png,images/orange.png,images/grape.png,images/banana.png,images/apple.png,image3,images/kiwi_gray.png,images/orange_gray.png,images/grape_gray.png,images/banana_gray.png,images/apple_gray.png,0,0,0,,,,,,,,,,,,,0,0,0,0,49.55535212496761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.54449270805344,0.22878970892634243,49.55535212496761,49.55535212496761,49.55535212496761,49.55535212496761,49.55535212496761,49.55535212496761,49.55535212496761,,,,,,,,
