thisN,thisTrialN,thisRepN,hotel_query,choice1,choice2,choice3,choice4,choice5,correct_answer,gray1,gray2,gray3,gray4,gray5,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,colorBlock.thisRepN,colorBlock.thisTrialN,colorBlock.thisN,colorBlock.thisIndex,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,grayBlock.thisRepN,grayBlock.thisTrialN,grayBlock.thisN,grayBlock.thisIndex,bothBlock.thisRepN,bothBlock.thisTrialN,bothBlock.thisN,bothBlock.thisIndex,thisRow.t,notes,assigned_group,WelcomeScreen.started,textWelcomeMessage.started,key_Continue.started,WelcomeScreen.stopped,key_Continue.keys,key_Continue.rt,key_Continue.duration,trialColor.started,mouse.started,imageQuery.started,image1.started,image2.started,image3.started,image4.started,image5.started,queryCaption.started,divider.started,clicked_image,isCorrect,trialColor.stopped,trialsColor.mouse.x,trialsColor.mouse.y,trialsColor.mouse.leftButton,trialsColor.mouse.midButton,trialsColor.mouse.rightButton,trialsColor.mouse.time,trialsColor.mouse.clicked_name,blank500.started,text.started,text.stopped,blank500.stopped,confidenceScreen.started,text_confidenceQuestion.started,slider.started,buttonAdvance.started,confidenceScreen.stopped,colorBlock.slider.response,colorBlock.slider.rt,colorBlock.buttonAdvance.numClicks,colorBlock.buttonAdvance.timesOn,colorBlock.buttonAdvance.timesOff,EndScreen.started,textEndMessage.started,textEndMessage.stopped,EndScreen.stopped,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color_only,0.022242666920647025,0.04069254198111594,0.04069254198111594,1.4482524580089375,space,1.2211294589797035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-19_11h09.26.767,mock_study,,2025.1.1,2025-06-19 11h09.38.843915 -0400,
0,0,0,images/hotel4_query.jpg,images/hotel4_sample1.jpg,images/hotel4_sample2.jpg,images/hotel4_sample3.jpg,images/hotel4_sample4.jpg,images/hotel4_correct.jpg,images/hotel4_correct.jpg,images/hotel4_gray1.jpg,images/hotel4_gray2.jpg,images/hotel4_gray3.jpg,images/hotel4_gray4.jpg,images/hotel4_correctGray.jpg,[np.float64(0.6027777777777777)],[np.float64(0.022222222222222223)],[1],[0],[0],[9.548699583043344],['image5'],0,0,0,0,0,0,0,3,,,,,,,,,1.5185969999292865,,,,,,,,,,1.5038004579255357,0.05555487493984401,1.5185969999292865,1.5185969999292865,1.5185969999292865,1.5185969999292865,1.5185969999292865,1.5185969999292865,1.5185969999292865,1.5185969999292865,images/hotel4_correct.jpg,1,11.053102916921489,[np.float64(0.6027777777777777)],[np.float64(0.022222222222222223)],[1],[0],[0],[9.548699583043344],['image5'],11.053314374992624,11.0587853329489,12.17031054198742,12.051151749910787,,,,,,,,,,,,,,,,001,2025-06-19_11h09.26.767,mock_study,,2025.1.1,2025-06-19 11h09.38.843915 -0400,
1,1,0,images/hotel1_query.jpg,images/hotel1_sample1.jpg,images/hotel1_sample2.jpeg,images/hotel1_sample3.jpg,images/hotel1_correct.jpg,images/hotel1_sample4.jpg,images/hotel1_correct.jpg,images/hotel1_gray1.jpg,images/hotel1_gray2.jpeg,images/hotel1_gray3.jpg,images/hotel1_correctGray.jpg,images/hotel1_gray4.jpg,[np.float64(0.15694444444444444)],[np.float64(0.21944444444444444)],[1],[0],[0],[0.3157243749592453],['image2'],0,0,0,0,0,1,1,0,,,,,,,,,12.17031054198742,,,,,,,,,,12.165511916973628,0.11224237491842359,12.17031054198742,12.17031054198742,12.17031054198742,12.17031054198742,12.17031054198742,12.17031054198742,12.17031054198742,12.17031054198742,images/hotel1_sample2.jpeg,0,12.48203366692178,[np.float64(0.15694444444444444)],[np.float64(0.21944444444444444)],[1],[0],[0],[0.3157243749592453],['image2'],12.482191207935102,12.492739166948013,13.543193624936976,13.477332249982283,,,,,,,,,,,,,,,,001,2025-06-19_11h09.26.767,mock_study,,2025.1.1,2025-06-19 11h09.38.843915 -0400,
2,2,0,images/hotel2_query.jpg,images/hotel2_sample1.JPEG,images/hotel2_correct.jpg,images/hotel2_sample2.jpg,images/hotel2_sample3.jpg,images/hotel2_sample4.jpeg,images/hotel2_correct.jpg,images/hotel2_gray1.JPEG,images/hotel2_correctGray.jpg,images/hotel2_gray2.jpg,images/hotel2_gray3.jpg,images/hotel2_gray4.jpeg,[np.float64(0.6777777777777778)],[np.float64(0.25972222222222224)],[1],[0],[0],[0.23264179204124957],['image3'],0,0,0,0,0,2,2,1,,,,,,,,,13.543193624936976,,,,,,,,,,13.538191917003132,0.05604487506207079,13.543193624936976,13.543193624936976,13.543193624936976,13.543193624936976,13.543193624936976,13.543193624936976,13.543193624936976,13.543193624936976,images/hotel2_sample2.jpg,0,13.771324916975573,[np.float64(0.6777777777777778)],[np.float64(0.25972222222222224)],[1],[0],[0],[0.23264179204124957],['image3'],13.771480583003722,13.774124999996275,14.926655791932717,14.760829249978997,,,,,,,,,,,,,,,,001,2025-06-19_11h09.26.767,mock_study,,2025.1.1,2025-06-19 11h09.38.843915 -0400,
3,3,0,images/hotel3_query.jpg,images/hotel3_correct.jpg,images/hotel3_sample1.jpg,images/hotel3_sample2.jpeg,images/hotel3_sample3.jpg,images/hotel3_sample4.jpg,images/hotel3_correct.jpg,images/hotel3_correctGray.jpg,images/hotel3_gray1.jpg,images/hotel3_gray2.jpeg,images/hotel3_gray3.jpg,images/hotel3_gray4.jpg,[],[],[],[],[],[],[],0,0,0,0,0,3,3,2,,,,,,,,,14.926655791932717,,,,,,,,,,14.921847082907334,0.15041629096958786,14.926655791932717,14.926655791932717,14.926655791932717,14.926655791932717,14.926655791932717,14.926655791932717,14.926655791932717,14.926655791932717,images/hotel3_correct.jpg,1,15.018312499974854,[],[],[],[],[],[],[],15.018393374979496,15.02549791696947,16.43338879197836,16.010031917016022,,,,,,,,,,,,,,,,001,2025-06-19_11h09.26.767,mock_study,,2025.1.1,2025-06-19 11h09.38.843915 -0400,
4,4,0,images/hotel5_query.jpg,images/hotel5_sample1.jpg,images/hotel5_sample2.jpg,images/hotel5_correct.jpg,images/hotel5_sample3.png,images/hotel5_sample4.jpg,images/hotel5_correct.jpg,images/hotel5_gray1.jpg,images/hotel5_gray2.jpg,images/hotel5_correctGray.jpg,images/hotel5_gray3.png,images/hotel5_gray4.jpg,[np.float64(0.21666666666666667)],[np.float64(0.1736111111111111)],[1],[0],[0],[0.26655983307864517],['image2'],0,0,0,0,0,4,4,4,,,,,,,,,16.43338879197836,,,,,,,,,,16.428435707930475,0.4100807079812512,16.43338879197836,16.43338879197836,16.43338879197836,16.43338879197836,16.43338879197836,16.43338879197836,16.43338879197836,16.43338879197836,images/hotel5_sample2.jpg,0,16.695421832962893,[np.float64(0.21666666666666667)],[np.float64(0.1736111111111111)],[1],[0],[0],[0.26655983307864517],['image2'],16.695572416996583,16.700493249925785,17.73330433294177,17.694465957931243,,,,,,,,,,,,,,,,001,2025-06-19_11h09.26.767,mock_study,,2025.1.1,2025-06-19 11h09.38.843915 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.70119770790916,17.73330433294177,17.73330433294177,17.73330433294177,18.904060374945402,4.0,0.6067919579800218,1,[1.1702119170222431],[1.1702156669925898],18.90428916690871,18.917234791908413,23.917654124903493,23.904262541909702,,001,2025-06-19_11h09.26.767,mock_study,,2025.1.1,2025-06-19 11h09.38.843915 -0400,
