thisN,thisTrialN,thisRepN,hotel_query,choice1,choice2,choice3,choice4,choice5,correct_answer,gray1,gray2,gray3,gray4,gray5,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,toggle_button.numClicks,toggle_button.timesOn,toggle_button.timesOff,colorBlock.thisRepN,colorBlock.thisTrialN,colorBlock.thisN,colorBlock.thisIndex,grayBlock.thisRepN,grayBlock.thisTrialN,grayBlock.thisN,grayBlock.thisIndex,bothBlock.thisRepN,bothBlock.thisTrialN,bothBlock.thisN,bothBlock.thisIndex,trialsGray_Color.thisRepN,trialsGray_Color.thisTrialN,trialsGray_Color.thisN,trialsGray_Color.thisIndex,thisRow.t,notes,assigned_group,mouse_2.started,image2_2.started,trialsGray_Color.mouse_2.x,trialsGray_Color.mouse_2.y,trialsGray_Color.mouse_2.leftButton,trialsGray_Color.mouse_2.midButton,trialsGray_Color.mouse_2.rightButton,trialsGray_Color.mouse_2.time,trialsGray_Color.mouse_2.clicked_name,trialsGray_Color.toggle_button.numClicks,trialsGray_Color.toggle_button.timesOn,trialsGray_Color.toggle_button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,both_blocks,,,,,,,,,,,,,,001,2025-06-19_11h37.17.897,mock_study,,2025.1.1,2025-06-19 11h37.26.712414 -0400,
0,0,0,images/hotel5_query.jpg,images/hotel5_sample1.jpg,images/hotel5_sample2.jpg,images/hotel5_correct.jpg,images/hotel5_sample3.png,images/hotel5_sample4.jpg,images/hotel5_correct.jpg,images/hotel5_gray1.jpg,images/hotel5_gray2.jpg,images/hotel5_correctGray.jpg,images/hotel5_gray3.png,images/hotel5_gray4.jpg,[np.float64(-0.48055555555555557)],[np.float64(-0.24027777777777778)],[1],[0],[0],[5.349792167078704],"['toggle_button', 'toggle_button']",1,[5.367182417074218],[5.367186874966137],,,,,,,,,0,0,0,0,0,0,0,4,5.791350042098202,,,0.7525347920600325,5.791350042098202,[np.float64(-0.48055555555555557)],[np.float64(-0.24027777777777778)],[1],[0],[0],[5.349792167078704],"['toggle_button', 'toggle_button']",1,[5.367182417074218],[5.367186874966137],,001,2025-06-19_11h37.17.897,mock_study,,2025.1.1,2025-06-19 11h37.26.712414 -0400,
1,1,0,images/hotel3_query.jpg,images/hotel3_correct.jpg,images/hotel3_sample1.jpg,images/hotel3_sample2.jpeg,images/hotel3_sample3.jpg,images/hotel3_sample4.jpg,images/hotel3_correct.jpg,images/hotel3_correctGray.jpg,images/hotel3_gray1.jpg,images/hotel3_gray2.jpeg,images/hotel3_gray3.jpg,images/hotel3_gray4.jpg,[np.float64(-0.48055555555555557)],[np.float64(-0.24027777777777778)],[1],[0],[0],[1.090820167097263],"['toggle_button', 'toggle_button']",1,[1.08624395809602],[1.0862483750097454],,,,,,,,,0,0,0,0,0,1,1,2,11.887440167018212,,,0.2411242499947548,11.887440167018212,[np.float64(-0.48055555555555557)],[np.float64(-0.24027777777777778)],[1],[0],[0],[1.090820167097263],"['toggle_button', 'toggle_button']",1,[1.08624395809602],[1.0862483750097454],,001,2025-06-19_11h37.17.897,mock_study,,2025.1.1,2025-06-19 11h37.26.712414 -0400,
2,2,0,images/hotel4_query.jpg,images/hotel4_sample1.jpg,images/hotel4_sample2.jpg,images/hotel4_sample3.jpg,images/hotel4_sample4.jpg,images/hotel4_correct.jpg,images/hotel4_correct.jpg,images/hotel4_gray1.jpg,images/hotel4_gray2.jpg,images/hotel4_gray3.jpg,images/hotel4_gray4.jpg,images/hotel4_correctGray.jpg,[np.float64(-0.49027777777777776)],[np.float64(-0.24861111111111112)],[1],[0],[0],[1.4113479579100385],"['toggle_button', 'toggle_button']",1,[1.4085196669911966],[1.4085240829735994],,,,,,,,,0,0,0,0,0,2,2,3,13.885358209023252,,,0.09124187496490777,13.885358209023252,[np.float64(-0.49027777777777776)],[np.float64(-0.24861111111111112)],[1],[0],[0],[1.4113479579100385],"['toggle_button', 'toggle_button']",1,[1.4085196669911966],[1.4085240829735994],,001,2025-06-19_11h37.17.897,mock_study,,2025.1.1,2025-06-19 11h37.26.712414 -0400,
3,3,0,images/hotel2_query.jpg,images/hotel2_sample1.JPEG,images/hotel2_correct.jpg,images/hotel2_sample2.jpg,images/hotel2_sample3.jpg,images/hotel2_sample4.jpeg,images/hotel2_correct.jpg,images/hotel2_gray1.JPEG,images/hotel2_correctGray.jpg,images/hotel2_gray2.jpg,images/hotel2_gray3.jpg,images/hotel2_gray4.jpeg,,,,,,,,,,,,,,,,,,,,,,,0,3,3,1,16.300978084094822,,,0.07023341697640717,16.300978084094822,,,,,,,,,,,,,,,,,,
