thisN,thisTrialN,thisRepN,hotel_query,choice1,choice2,choice3,choice4,choice5,correct_answer,colorBlock.thisRepN,colorBlock.thisTrialN,colorBlock.thisN,colorBlock.thisIndex,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,thisRow.t,notes,assigned_group,WelcomeScreen.started,textWelcomeMessage.started,key_Continue.started,WelcomeScreen.stopped,key_Continue.keys,key_Continue.rt,key_Continue.duration,trialColor.started,mouse.started,imageQuery.started,image1.started,image2.started,image3.started,image4.started,image5.started,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,color_only,0.025850582984276116,0.044848958030343056,0.044848958030343056,1.1210955419810489,space,1.0635447920067236,None,,,,,,,,,,001,2025-06-18_10h18.30.600,mock_study,,2025.1.1,2025-06-18 10h19.04.510188 -0400,
0,0,0,images/hotel1_query,images/hotel1_sample1,images/hotel1_sample2,images/hotel1_sample4,images/hotel1_correct,images/hotel1_sample3,images/hotel1_correct,0,0,0,0,0,0,0,0,1.2452231249772012,,,,,,,,,,1.2347493750276044,0.11365112499333918,1.2452231249772012,1.2452231249772012,1.2452231249772012,1.2452231249772012,1.2452231249772012,1.2452231249772012,,,,,,,,
