thisN,thisTrialN,thisRepN,hotel_query,choice1,choice2,choice3,choice4,choice5,correct_answer,gray1,gray2,gray3,gray4,gray5,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,colorBlock.thisRepN,colorBlock.thisTrialN,colorBlock.thisN,colorBlock.thisIndex,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,grayBlock.thisRepN,grayBlock.thisTrialN,grayBlock.thisN,grayBlock.thisIndex,bothBlock.thisRepN,bothBlock.thisTrialN,bothBlock.thisN,bothBlock.thisIndex,thisRow.t,notes,assigned_group,WelcomeScreen.started,textWelcomeMessage.started,key_Continue.started,WelcomeScreen.stopped,key_Continue.keys,key_Continue.rt,key_Continue.duration,trialColor.started,mouse.started,imageQuery.started,image1.started,image2.started,image3.started,image4.started,image5.started,queryCaption.started,clicked_image,isCorrect,trialColor.stopped,trialsColor.mouse.x,trialsColor.mouse.y,trialsColor.mouse.leftButton,trialsColor.mouse.midButton,trialsColor.mouse.rightButton,trialsColor.mouse.time,trialsColor.mouse.clicked_name,blank500.started,text.started,text.stopped,blank500.stopped,confidenceScreen.started,text_confidenceQuestion.started,slider.started,buttonAdvance.started,confidenceScreen.stopped,colorBlock.slider.response,colorBlock.slider.rt,colorBlock.buttonAdvance.numClicks,colorBlock.buttonAdvance.timesOn,colorBlock.buttonAdvance.timesOff,EndScreen.started,textEndMessage.started,textEndMessage.stopped,EndScreen.stopped,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color_only,0.021697374992072582,0.04527504206635058,0.04527504206635058,1.4486667080782354,space,1.212968833046034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-18_12h51.11.422,mock_study,,2025.1.1,2025-06-18 12h51.15.112429 -0400,
0,0,0,images/hotel1_query,images/hotel1_sample1,images/hotel1_sample2,images/hotel1_sample3,images/hotel1_correct,images/hotel1_sample4,images/hotel1_correct,images/hotel1_gray1,images/hotel1_gray2,images/hotel1_gray3,images/hotel1_correctGray,images/hotel1_gray4,[np.float64(0.12083333333333333)],[np.float64(-0.25833333333333336)],[1],[0],[0],[4.151614000089467],['image4'],0,0,0,0,0,0,0,0,,,,,,,,,1.5627234170679003,,,,,,,,,,1.5496774580096826,0.10102033405564725,1.5627234170679003,1.5627234170679003,1.5627234170679003,1.5627234170679003,1.5627234170679003,1.5627234170679003,1.5627234170679003,images/hotel1_correct,1,5.702014832990244,[np.float64(0.12083333333333333)],[np.float64(-0.25833333333333336)],[1],[0],[0],[4.151614000089467],['image4'],5.7022789580514655,5.706018875003792,6.755456167040393,6.68874220806174,,,,,,,,,,,,,,,,001,2025-06-18_12h51.11.422,mock_study,,2025.1.1,2025-06-18 12h51.15.112429 -0400,
1,1,0,images/hotel2_query,images/hotel2_sample1,images/hotel2_correct,images/hotel2_sample2,images/hotel2_sample3,images/hotel2_sample4,images/hotel2_correct,images/hotel2_gray1,images/hotel2_correctGray,images/hotel2_gray2,images/hotel2_gray3,images/hotel2_gray4,[],[],[],[],[],[],[],0,0,0,0,0,1,1,1,,,,,,,,,6.755456167040393,,,,,,,,,,6.750945292063989,0.048717582947574556,6.755456167040393,6.755456167040393,6.755456167040393,6.755456167040393,6.755456167040393,6.755456167040393,6.755456167040393,images/hotel2_correct,1,8.03823333303444,[],[],[],[],[],[],[],8.038332791998982,8.049803042085841,9.104668457992375,9.035932958009653,,,,,,,,,,,,,,,,001,2025-06-18_12h51.11.422,mock_study,,2025.1.1,2025-06-18 12h51.15.112429 -0400,
2,2,0,images/hotel4_query,images/hotel4_sample1,images/hotel4_sample2,images/hotel4_sample3,images/hotel4_sample4,images/hotel4_correct,images/hotel4_correct,images/hotel4_gray1,images/hotel4_gray2,images/hotel4_gray3,images/hotel4_gray4,images/hotel4_correctGray,[np.float64(0.5152777777777777)],[np.float64(-0.18611111111111112)],[1],[0],[0],[0.9430160829797387],['image5'],0,0,0,0,0,2,2,3,,,,,,,,,9.104668457992375,,,,,,,,,,9.100310957990587,0.06202062498778105,9.104668457992375,9.104668457992375,9.104668457992375,9.104668457992375,9.104668457992375,9.104668457992375,9.104668457992375,images/hotel4_correct,1,10.043928917031735,[np.float64(0.5152777777777777)],[np.float64(-0.18611111111111112)],[1],[0],[0],[0.9430160829797387],['image5'],10.044084042077884,10.04951541707851,11.21009349997621,11.04407683305908,,,,,,,,,,,,,,,,001,2025-06-18_12h51.11.422,mock_study,,2025.1.1,2025-06-18 12h51.15.112429 -0400,
3,3,0,images/hotel3_query,images/hotel3_correct,images/hotel3_sample1,images/hotel3_sample2,images/hotel3_sample3,images/hotel3_sample4,images/hotel3_correct,images/hotel3_correctGray,images/hotel3_gray1,images/hotel3_gray2,images/hotel3_gray3,images/hotel3_gray4,[np.float64(0.5972222222222222)],[np.float64(0.10138888888888889)],[1],[0],[0],[1.3903467500349507],['image3'],0,0,0,0,0,3,3,2,,,,,,,,,11.21009349997621,,,,,,,,,,11.205258917063475,0.16121708403807133,11.21009349997621,11.21009349997621,11.21009349997621,11.21009349997621,11.21009349997621,11.21009349997621,11.21009349997621,images/hotel3_sample2,0,12.596324375015683,[np.float64(0.5972222222222222)],[np.float64(0.10138888888888889)],[1],[0],[0],[1.3903467500349507],['image3'],12.596538125071675,12.59955229202751,14.015177917084657,13.584464541985653,,,,,,,,,,,,,,,,001,2025-06-18_12h51.11.422,mock_study,,2025.1.1,2025-06-18 12h51.15.112429 -0400,
4,4,0,images/hotel5_query,images/hotel5_sample1,images/hotel5_sample2,images/hotel5_correct,images/hotel5_sample3,images/hotel5_sample4,images/hotel5_correct,images/hotel5_gray1,images/hotel5_gray2,images/hotel5_correctGray,images/hotel5_gray3,images/hotel5_gray4,[np.float64(0.21944444444444444)],[np.float64(-0.15)],[1],[0],[0],[2.0160255839582533],['image4'],0,0,0,0,0,4,4,4,,,,,,,,,14.015177917084657,,,,,,,,,,14.010467917076312,0.4139772499911487,14.015177917084657,14.015177917084657,14.015177917084657,14.015177917084657,14.015177917084657,14.015177917084657,14.015177917084657,images/hotel5_sample3,0,16.027064542053267,[np.float64(0.21944444444444444)],[np.float64(-0.15)],[1],[0],[0],[2.0160255839582533],['image4'],16.02722220798023,16.033080207998864,17.065889167017303,17.026932124979794,,,,,,,,,,,,,,,,001,2025-06-18_12h51.11.422,mock_study,,2025.1.1,2025-06-18 12h51.15.112429 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.033805125043727,17.065889167017303,17.065889167017303,17.065889167017303,18.812610208056867,3.0,1.0669845839729533,1,[1.7457532919943333],[1.7457571669947356],18.812874166993424,18.824484582990408,23.812018542084843,23.80823379207868,,001,2025-06-18_12h51.11.422,mock_study,,2025.1.1,2025-06-18 12h51.15.112429 -0400,
