thisN,thisTrialN,thisRepN,hotel_query,choice1,choice2,choice3,choice4,choice5,correct_answer,gray1,gray2,gray3,gray4,gray5,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,toggle_button.numClicks,toggle_button.timesOn,toggle_button.timesOff,colorBlock.thisRepN,colorBlock.thisTrialN,colorBlock.thisN,colorBlock.thisIndex,grayBlock.thisRepN,grayBlock.thisTrialN,grayBlock.thisN,grayBlock.thisIndex,bothBlock.thisRepN,bothBlock.thisTrialN,bothBlock.thisN,bothBlock.thisIndex,trialsGray_Color.thisRepN,trialsGray_Color.thisTrialN,trialsGray_Color.thisN,trialsGray_Color.thisIndex,thisRow.t,notes,assigned_group,mouse_2.started,image2_2.started,clicked_image,isCorrect,trialsGray_Color.mouse_2.x,trialsGray_Color.mouse_2.y,trialsGray_Color.mouse_2.leftButton,trialsGray_Color.mouse_2.midButton,trialsGray_Color.mouse_2.rightButton,trialsGray_Color.mouse_2.time,trialsGray_Color.mouse_2.clicked_name,trialsGray_Color.toggle_button.numClicks,trialsGray_Color.toggle_button.timesOn,trialsGray_Color.toggle_button.timesOff,bothBlock.slider.response,bothBlock.slider.rt,bothBlock.slider.history,bothBlock.buttonAdvance.numClicks,bothBlock.buttonAdvance.timesOn,bothBlock.buttonAdvance.timesOff,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,both_blocks,,,,,,,,,,,,,,,,,,,,,,001,2025-06-19_11h38.27.888,mock_study,,2025.1.1,2025-06-19 11h38.38.624052 -0400,
0,0,0,images/hotel2_query.jpg,images/hotel2_sample1.JPEG,images/hotel2_correct.jpg,images/hotel2_sample2.jpg,images/hotel2_sample3.jpg,images/hotel2_sample4.jpeg,images/hotel2_correct.jpg,images/hotel2_gray1.JPEG,images/hotel2_correctGray.jpg,images/hotel2_gray2.jpg,images/hotel2_gray3.jpg,images/hotel2_gray4.jpeg,[np.float64(0.32083333333333336)],[np.float64(-0.28055555555555556)],[1],[0],[0],[8.912224999978207],"['image1', 'image1']",2,"[4.22069258405827, 6.000890959054232]","[4.285957292071544, 6.086113750003278]",,,,,,,,,0,0,0,0,0,0,0,1,3.2173752090893686,,,0.10383162507787347,3.2173752090893686,images/hotel2_sample1.JPEG,0,[np.float64(0.32083333333333336)],[np.float64(-0.28055555555555556)],[1],[0],[0],[8.912224999978207],"['image1', 'image1']",2,"[4.22069258405827, 6.000890959054232]","[4.285957292071544, 6.086113750003278]",,,,,,,,001,2025-06-19_11h38.27.888,mock_study,,2025.1.1,2025-06-19 11h38.38.624052 -0400,
1,1,0,images/hotel4_query.jpg,images/hotel4_sample1.jpg,images/hotel4_sample2.jpg,images/hotel4_sample3.jpg,images/hotel4_sample4.jpg,images/hotel4_correct.jpg,images/hotel4_correct.jpg,images/hotel4_gray1.jpg,images/hotel4_gray2.jpg,images/hotel4_gray3.jpg,images/hotel4_gray4.jpg,images/hotel4_correctGray.jpg,[np.float64(0.6208333333333333)],[np.float64(0.03333333333333333)],[1],[0],[0],[16.91753237496596],"['image5', 'image5']",2,"[1.7924809580435976, 11.875220832997002]","[1.8950007919920608, 11.953376000048593]",,,,,,,,,0,0,0,0,0,1,1,3,13.12841954198666,,,0.09304304199758917,13.12841954198666,images/hotel4_correct.jpg,1,[np.float64(0.6208333333333333)],[np.float64(0.03333333333333333)],[1],[0],[0],[16.91753237496596],"['image5', 'image5']",2,"[1.7924809580435976, 11.875220832997002]","[1.8950007919920608, 11.953376000048593]",,,,,,,,001,2025-06-19_11h38.27.888,mock_study,,2025.1.1,2025-06-19 11h38.38.624052 -0400,
2,2,0,images/hotel5_query.jpg,images/hotel5_sample1.jpg,images/hotel5_sample2.jpg,images/hotel5_correct.jpg,images/hotel5_sample3.png,images/hotel5_sample4.jpg,images/hotel5_correct.jpg,images/hotel5_gray1.jpg,images/hotel5_gray2.jpg,images/hotel5_correctGray.jpg,images/hotel5_gray3.png,images/hotel5_gray4.jpg,[np.float64(0.16666666666666666)],[np.float64(0.20694444444444443)],[1],[0],[0],[23.79590091702994],"['image2', 'image2']",1,[15.461590542108752],[15.461595667060465],,,,,,,,,0,0,0,0,0,2,2,4,31.677434000070207,,,0.7191107920370996,31.677434000070207,images/hotel5_gray2.jpg,0,[np.float64(0.16666666666666666)],[np.float64(0.20694444444444443)],[1],[0],[0],[23.79590091702994],"['image2', 'image2']",1,[15.461590542108752],[15.461595667060465],,,,,,,,001,2025-06-19_11h38.27.888,mock_study,,2025.1.1,2025-06-19 11h38.38.624052 -0400,
3,3,0,images/hotel3_query.jpg,images/hotel3_correct.jpg,images/hotel3_sample1.jpg,images/hotel3_sample2.jpeg,images/hotel3_sample3.jpg,images/hotel3_sample4.jpg,images/hotel3_correct.jpg,images/hotel3_correctGray.jpg,images/hotel3_gray1.jpg,images/hotel3_gray2.jpeg,images/hotel3_gray3.jpg,images/hotel3_gray4.jpg,[np.float64(0.40694444444444444)],[np.float64(-0.2375)],[1],[0],[0],[5.827778666978702],"['image1', 'image1']",2,"[3.9735956250224262, 4.615962916053832]","[3.9736000830307603, 4.61596887500491]",,,,,,,,,0,0,0,0,0,3,3,2,55.977633417001925,,,0.23215620801784098,55.977633417001925,images/hotel3_correct.jpg,1,[np.float64(0.40694444444444444)],[np.float64(-0.2375)],[1],[0],[0],[5.827778666978702],"['image1', 'image1']",2,"[3.9735956250224262, 4.615962916053832]","[3.9736000830307603, 4.61596887500491]",,,,,,,,001,2025-06-19_11h38.27.888,mock_study,,2025.1.1,2025-06-19 11h38.38.624052 -0400,
4,4,0,images/hotel1_query.jpg,images/hotel1_sample1.jpg,images/hotel1_sample2.jpeg,images/hotel1_sample3.jpg,images/hotel1_correct.jpg,images/hotel1_sample4.jpg,images/hotel1_correct.jpg,images/hotel1_gray1.jpg,images/hotel1_gray2.jpeg,images/hotel1_gray3.jpg,images/hotel1_correctGray.jpg,images/hotel1_gray4.jpg,[np.float64(0.23333333333333334)],[np.float64(0.030555555555555555)],[1],[0],[0],[1.717486499925144],"['image4', 'image4']",0,,,,,,,,,,,0,0,0,0,0,4,4,0,62.70818187505938,,,0.1457096659578383,62.70818187505938,images/hotel1_correct.jpg,1,[np.float64(0.23333333333333334)],[np.float64(0.030555555555555555)],[1],[0],[0],[1.717486499925144],"['image4', 'image4']",0,,,,,,,,,,001,2025-06-19_11h38.27.888,mock_study,,2025.1.1,2025-06-19 11h38.38.624052 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.1545267909532413,"[(3.0, 1.5587908329907805), (4.0, 2.1545267909532413)]",1,[3.391187416971661],[3.3911910000024363],,001,2025-06-19_11h38.27.888,mock_study,,2025.1.1,2025-06-19 11h38.38.624052 -0400,
