thisN,thisTrialN,thisRepN,query_image,choice1,choice2,choice3,choice4,choice5,correct_answer,gray1,gray2,gray3,gray4,gray5,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,colorBlock.thisRepN,colorBlock.thisTrialN,colorBlock.thisN,colorBlock.thisIndex,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,thisRow.t,notes,assigned_group,WelcomeScreen.started,textWelcomeMessage.started,key_Continue.started,WelcomeScreen.stopped,key_Continue.keys,key_Continue.rt,key_Continue.duration,trialColor.started,mouse.started,imageQuery.started,image1.started,image2.started,image3.started,image4.started,image5.started,trialColor.stopped,trialsColor.mouse.x,trialsColor.mouse.y,trialsColor.mouse.leftButton,trialsColor.mouse.midButton,trialsColor.mouse.rightButton,trialsColor.mouse.time,trialsColor.mouse.corr,trialsColor.mouse.clicked_name,blank500.started,text.started,text.stopped,blank500.stopped,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color_only,0.02161429193802178,0.0393325419863686,0.0393325419863686,3.159990332904272,space,2.958028665976599,None,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-17_16h11.01.015,mock_study,,2025.1.1,2025-06-17 16h11.04.295307 -0400,
0,0,0,images/banana.png,images/apple.png,images/banana.png,images/orange.png,images/kiwi.png,images/grape.png,image2,images/apple_gray.png,images/banana_gray.png,images/orange_gray.png,images/kiwi_gray.png,images/grape_gray.png,[np.float64(0.35)],[np.float64(0.17777777777777778)],[1],[0],[0],[1.0929785419721156],[1],['image2'],0,0,0,0,0,0,0,2,3.361570374923758,,,,,,,,,,3.349788541905582,0.18979712505824864,3.361570374923758,3.361570374923758,3.361570374923758,3.361570374923758,3.361570374923758,3.361570374923758,4.442976041929796,[np.float64(0.35)],[np.float64(0.17777777777777778)],[1],[0],[0],[1.0929785419721156],[1],['image2'],4.443253166973591,4.448478707927279,5.600817332975566,5.434803124982864,,001,2025-06-17_16h11.01.015,mock_study,,2025.1.1,2025-06-17 16h11.04.295307 -0400,
1,1,0,images/kiwi.png,images/kiwi.png,images/apple.png,images/grape.png,images/banana.png,images/orange.png,image1,images/kiwi_gray.png,images/apple_gray.png,images/grape_gray.png,images/banana_gray.png,images/orange_gray.png,,,,,,,,,,,,,0,1,1,1,5.600817332975566,,,,,,,,,,5.597435374977067,0.15423104097135365,5.600817332975566,5.600817332975566,5.600817332975566,5.600817332975566,5.600817332975566,5.600817332975566,6.424514916958287,[np.float64(0.04583333333333333)],[np.float64(0.14722222222222223)],[1],[0],[0],[0.8268529589986429],[1],['image1'],6.424781417008489,6.429302166914567,,,,,,,,,,
