thisN,thisTrialN,thisRepN,hotel_query,choice1,choice2,choice3,choice4,choice5,correct_answer,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,colorBlock.thisRepN,colorBlock.thisTrialN,colorBlock.thisN,colorBlock.thisIndex,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,thisRow.t,notes,assigned_group,WelcomeScreen.started,textWelcomeMessage.started,key_Continue.started,WelcomeScreen.stopped,key_Continue.keys,key_Continue.rt,key_Continue.duration,trialColor.started,mouse.started,imageQuery.started,image1.started,image2.started,image3.started,image4.started,image5.started,queryCaption.started,clicked_image,isCorrect,trialColor.stopped,trialsColor.mouse.x,trialsColor.mouse.y,trialsColor.mouse.leftButton,trialsColor.mouse.midButton,trialsColor.mouse.rightButton,trialsColor.mouse.time,trialsColor.mouse.clicked_name,blank500.started,text.started,text.stopped,blank500.stopped,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,color_only,0.033315083011984825,0.056813917006365955,0.056813917006365955,3.322724250028841,space,3.0757257499499246,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-18_11h27.13.897,mock_study,,2025.1.1,2025-06-18 11h27.19.045227 -0400,
0,0,0,images/hotel1_query,images/hotel1_sample1,images/hotel1_sample2,images/hotel1_sample4,images/hotel1_correct,images/hotel1_sample3,images/hotel1_correct,[np.float64(0.1625)],[np.float64(-0.2)],[1],[0],[0],[1.0797882908955216],['image4'],0,0,0,0,0,0,0,0,3.4536235419800505,,,,,,,,,,3.438857208006084,0.11614525003824383,3.4536235419800505,3.4536235419800505,3.4536235419800505,3.4536235419800505,3.4536235419800505,3.4536235419800505,3.4536235419800505,images/hotel1_correct,1,4.519464874989353,[np.float64(0.1625)],[np.float64(-0.2)],[1],[0],[0],[1.0797882908955216],['image4'],4.519722333061509,4.523527542012744,5.5798875000327826,5.508717291988432,,001,2025-06-18_11h27.13.897,mock_study,,2025.1.1,2025-06-18 11h27.19.045227 -0400,
1,1,0,images/hotel4_query,images/hotel4_sample1,images/hotel4_sample2,images/hotel4_sample3,images/hotel4_sample4,images/hotel4_correct,images/hotel4_correct,[np.float64(0.17777777777777778)],[np.float64(0.09305555555555556)],[1],[0],[0],[28.25998033292126],['image2'],0,0,0,0,0,1,1,3,5.5798875000327826,,,,,,,,,,5.575369750033133,0.055698166019283235,5.5798875000327826,5.5798875000327826,5.5798875000327826,5.5798875000327826,5.5798875000327826,5.5798875000327826,5.5798875000327826,images/hotel4_sample2,0,33.83597733301576,[np.float64(0.17777777777777778)],[np.float64(0.09305555555555556)],[1],[0],[0],[28.25998033292126],['image2'],33.83617208304349,33.839062249986455,34.995753542054445,34.824939500074834,,001,2025-06-18_11h27.13.897,mock_study,,2025.1.1,2025-06-18 11h27.19.045227 -0400,
2,2,0,images/hotel3_query,images/hotel3_correct,images/hotel3_sample1,images/hotel3_sample2,images/hotel3_sample3,images/hotel3_sample4,images/hotel3_correct,[np.float64(-0.2916666666666667)],[np.float64(-0.19305555555555556)],[1],[0],[0],[1.2100935420021415],['image1'],0,0,0,0,0,2,2,2,34.995753542054445,,,,,,,,,,34.99125654203817,0.15513487497810274,34.995753542054445,34.995753542054445,34.995753542054445,34.995753542054445,34.995753542054445,34.995753542054445,34.995753542054445,images/hotel3_correct,1,36.201796957990155,[np.float64(-0.2916666666666667)],[np.float64(-0.19305555555555556)],[1],[0],[0],[1.2100935420021415],['image1'],36.201949208043516,36.20660754200071,37.25912012497429,37.19219354202505,,001,2025-06-18_11h27.13.897,mock_study,,2025.1.1,2025-06-18 11h27.19.045227 -0400,
3,3,0,images/hotel2_query,images/hotel2_sample1,images/hotel2_correct,images/hotel2_sample2,images/hotel2_sample3,images/hotel2_sample4,images/hotel2_correct,,,,,,,,,,,,0,3,3,1,37.25912012497429,,,,,,,,,,37.254655500059016,0.05274729197844863,37.25912012497429,37.25912012497429,37.25912012497429,37.25912012497429,37.25912012497429,37.25912012497429,37.25912012497429,,,,,,,,,,,,,,,,,,,,,,
