hotel_query,choice1,choice2,choice3,choice4,choice5,correct_answer,gray1,gray2,gray3,gray4,gray5,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,thisRow.t,notes,clicked_image,isCorrect,trialsColor.mouse.x,trialsColor.mouse.y,trialsColor.mouse.leftButton,trialsColor.mouse.midButton,trialsColor.mouse.rightButton,trialsColor.mouse.time,trialsColor.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-06-19_15h37.45.868,mock_study,,2025.1.1,2025-06-19 15h38.12.030061 -0400,
images/hotel5_query.jpg,images/hotel5_sample1.jpg,images/hotel5_sample2.jpg,images/hotel5_correct.jpg,images/hotel5_sample3.png,images/hotel5_sample4.jpg,images/hotel5_correct.jpg,images/hotel5_gray1.jpg,images/hotel5_gray2.jpg,images/hotel5_correctGray.jpg,images/hotel5_gray3.png,images/hotel5_gray4.jpg,0,0,0,[np.float64(0.18666666666666668)],[np.float64(0.2816666666666667)],[1],[0],[0],[5.4217096250504255],"['image2', 'image2']",0,0,0,4,4.783060499932617,,images/hotel5_sample2.jpg,0,[np.float64(0.18666666666666668)],[np.float64(0.2816666666666667)],[1],[0],[0],[5.4217096250504255],"['image2', 'image2']",pilot,001,2025-06-19_15h37.45.868,mock_study,,2025.1.1,2025-06-19 15h38.12.030061 -0400,
images/hotel3_query.jpg,images/hotel3_correct.jpg,images/hotel3_sample1.jpg,images/hotel3_sample2.jpeg,images/hotel3_sample3.jpg,images/hotel3_sample4.jpg,images/hotel3_correct.jpg,images/hotel3_correctGray.jpg,images/hotel3_gray1.jpg,images/hotel3_gray2.jpeg,images/hotel3_gray3.jpg,images/hotel3_gray4.jpg,1,1,0,,,,,,,,0,1,1,2,10.920683791977353,,,,,,,,,,,,,,,,,,
