thisN,thisTrialN,thisRepN,hotel_query,choice1,choice2,choice3,choice4,choice5,correct_answer,gray1,gray2,gray3,gray4,gray5,colorBlock.thisRepN,colorBlock.thisTrialN,colorBlock.thisN,colorBlock.thisIndex,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,thisRow.t,notes,assigned_group,WelcomeScreen.started,textWelcomeMessage.started,key_Continue.started,WelcomeScreen.stopped,key_Continue.keys,key_Continue.rt,key_Continue.duration,trialColor.started,mouse.started,imageQuery.started,image1.started,image2.started,image3.started,image4.started,image5.started,queryCaption.started,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,color_only,0.03133241704199463,0.049659917014651,0.049659917014651,1.2408086670329794,space,0.9909631250193343,None,,,,,,,,,,,001,2025-06-19_10h57.54.905,mock_study,,2025.1.1,2025-06-19 10h57.59.657464 -0400,
0,0,0,images/hotel1_query.jpg,images/hotel1_sample1.jpg,images/hotel1_sample2.jpeg,images/hotel1_sample3.jpg,images/hotel1_correct.jpg,images/hotel1_sample4.jpg,images/hotel1_correct.jpg,images/hotel1_gray1.jpg,images/hotel1_gray2.jpeg,images/hotel1_gray3.jpg,images/hotel1_correctGray.jpg,images/hotel1_gray4.jpg,0,0,0,0,0,0,0,0,1.3604228330077603,,,,,,,,,,1.345953791984357,0.10515079204924405,1.3604228330077603,1.3604228330077603,1.3604228330077603,1.3604228330077603,1.3604228330077603,1.3604228330077603,1.3604228330077603,,,,,,,,
