thisN,thisTrialN,thisRepN,hotel_query,choice1,choice2,choice3,choice4,choice5,correct_answer,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,colorBlock.thisRepN,colorBlock.thisTrialN,colorBlock.thisN,colorBlock.thisIndex,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,thisRow.t,notes,assigned_group,WelcomeScreen.started,textWelcomeMessage.started,key_Continue.started,WelcomeScreen.stopped,key_Continue.keys,key_Continue.rt,key_Continue.duration,trialColor.started,mouse.started,imageQuery.started,image1.started,image2.started,image3.started,image4.started,image5.started,queryCaption.started,clicked_image,isCorrect,trialColor.stopped,trialsColor.mouse.x,trialsColor.mouse.y,trialsColor.mouse.leftButton,trialsColor.mouse.midButton,trialsColor.mouse.rightButton,trialsColor.mouse.time,trialsColor.mouse.clicked_name,blank500.started,text.started,text.stopped,blank500.stopped,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,color_only,0.027411416987888515,0.04846804204862565,0.04846804204862565,1.2231240420369431,space,0.9982792920200154,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-18_11h08.08.483,mock_study,,2025.1.1,2025-06-18 11h08.11.321759 -0400,
0,0,0,images/hotel1_query,images/hotel1_sample1,images/hotel1_sample2,images/hotel1_sample4,images/hotel1_correct,images/hotel1_sample3,images/hotel1_correct,[np.float64(0.0625)],[np.float64(-0.22361111111111112)],[1],[0],[0],[1.922651624889113],['image4'],0,0,0,0,0,0,0,0,1.338756375014782,,,,,,,,,,1.3247767500579357,0.1016776249743998,1.338756375014782,1.338756375014782,1.338756375014782,1.338756375014782,1.338756375014782,1.338756375014782,1.338756375014782,images/hotel1_correct,1,3.2486626249738038,[np.float64(0.0625)],[np.float64(-0.22361111111111112)],[1],[0],[0],[1.922651624889113],['image4'],3.2488740839762613,3.2531924590002745,4.424672709079459,4.246092459070496,,001,2025-06-18_11h08.08.483,mock_study,,2025.1.1,2025-06-18 11h08.11.321759 -0400,
1,1,0,images/hotel3_query,images/hotel3_correct,images/hotel3_sample1,images/hotel3_sample2,images/hotel3_sample3,images/hotel3_sample4,images/hotel3_correct,[np.float64(-0.34305555555555556)],[np.float64(-0.20416666666666666)],[1],[0],[0],[10.00253779196646],['image1'],0,0,0,0,0,1,1,2,4.424672709079459,,,,,,,,,,4.420435333973728,0.1716085000662133,4.424672709079459,4.424672709079459,4.424672709079459,4.424672709079459,4.424672709079459,4.424672709079459,4.424672709079459,images/hotel3_correct,1,14.423437291989103,[np.float64(-0.34305555555555556)],[np.float64(-0.20416666666666666)],[1],[0],[0],[10.00253779196646],['image1'],14.42359295906499,14.427751292008907,15.47741633397527,15.41185337502975,,001,2025-06-18_11h08.08.483,mock_study,,2025.1.1,2025-06-18 11h08.11.321759 -0400,
2,2,0,images/hotel2_query,images/hotel2_sample1,images/hotel2_correct,images/hotel2_sample2,images/hotel2_sample3,images/hotel2_sample4,images/hotel2_correct,[np.float64(-0.28888888888888886)],[np.float64(-0.19722222222222222)],[1],[0],[0],[1.7099861250026152],['image1'],0,0,0,0,0,2,2,1,15.47741633397527,,,,,,,,,,15.471882999991067,0.04833570902701467,15.47741633397527,15.47741633397527,15.47741633397527,15.47741633397527,15.47741633397527,15.47741633397527,15.47741633397527,images/hotel2_sample1,0,17.182266624993645,[np.float64(-0.28888888888888886)],[np.float64(-0.19722222222222222)],[1],[0],[0],[1.7099861250026152],['image1'],17.18247479200363,17.185345584060997,18.305972167057917,18.168373667052947,,001,2025-06-18_11h08.08.483,mock_study,,2025.1.1,2025-06-18 11h08.11.321759 -0400,
3,0,1,images/hotel3_query,images/hotel3_correct,images/hotel3_sample1,images/hotel3_sample2,images/hotel3_sample3,images/hotel3_sample4,images/hotel3_correct,,,,,,,,,,,,1,0,3,2,18.305972167057917,,,,,,,,,,18.30138545902446,0.11895920801907778,18.305972167057917,18.305972167057917,18.305972167057917,18.305972167057917,18.305972167057917,18.305972167057917,18.305972167057917,,,,,,,,,,,,,,,,,,,,,,
