thisN,thisTrialN,thisRepN,hotel_query,choice1,choice2,choice3,choice4,choice5,correct_answer,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,colorBlock.thisRepN,colorBlock.thisTrialN,colorBlock.thisN,colorBlock.thisIndex,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,thisRow.t,notes,assigned_group,WelcomeScreen.started,textWelcomeMessage.started,key_Continue.started,WelcomeScreen.stopped,key_Continue.keys,key_Continue.rt,key_Continue.duration,trialColor.started,mouse.started,imageQuery.started,image1.started,image2.started,image3.started,image4.started,image5.started,queryCaption.started,clicked_image,isCorrect,trialColor.stopped,trialsColor.mouse.x,trialsColor.mouse.y,trialsColor.mouse.leftButton,trialsColor.mouse.midButton,trialsColor.mouse.rightButton,trialsColor.mouse.time,trialsColor.mouse.clicked_name,blank500.started,text.started,text.stopped,blank500.stopped,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,color_only,0.04113354196306318,0.0638329170178622,0.0638329170178622,1.1165286669274792,space,0.8534382089274004,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-18_11h04.43.646,mock_study,,2025.1.1,2025-06-18 11h04.47.225922 -0400,
0,0,0,images/hotel1_query,images/hotel1_sample1,images/hotel1_sample2,images/hotel1_sample4,images/hotel1_correct,images/hotel1_sample3,images/hotel1_correct,[np.float64(0.09305555555555556)],[np.float64(-0.13055555555555556)],[1],[0],[0],[5.905792375095189],['image4'],0,0,0,0,0,0,0,0,1.244518541963771,,,,,,,,,,1.2304614590248093,0.1139382499968633,1.244518541963771,1.244518541963771,1.244518541963771,1.244518541963771,1.244518541963771,1.244518541963771,1.244518541963771,images/hotel1_correct,1,7.137176209012978,[np.float64(0.09305555555555556)],[np.float64(-0.13055555555555556)],[1],[0],[0],[5.905792375095189],['image4'],7.137442584033124,7.14292925002519,8.196229166933335,8.12681170902215,,001,2025-06-18_11h04.43.646,mock_study,,2025.1.1,2025-06-18 11h04.47.225922 -0400,
1,1,0,images/hotel2_query,images/hotel2_sample1,images/hotel2_correct,images/hotel2_sample2,images/hotel2_sample3,images/hotel2_sample4,images/hotel2_correct,[np.float64(-0.31666666666666665)],[np.float64(-0.1763888888888889)],[1],[0],[0],[11.011708792066202],['image1'],0,0,0,0,0,1,1,1,8.196229166933335,,,,,,,,,,8.191325500025414,0.053942417027428746,8.196229166933335,8.196229166933335,8.196229166933335,8.196229166933335,8.196229166933335,8.196229166933335,8.196229166933335,images/hotel2_sample1,0,19.203429291956127,[np.float64(-0.31666666666666665)],[np.float64(-0.1763888888888889)],[1],[0],[0],[11.011708792066202],['image1'],19.203601208981127,19.20790279202629,,20.202060833922587,,001,2025-06-18_11h04.43.646,mock_study,,2025.1.1,2025-06-18 11h04.47.225922 -0400,
2,2,0,images/hotel3_query,images/hotel3_correct,images/hotel3_sample1,images/hotel3_sample2,images/hotel3_sample3,images/hotel3_sample3,images/hotel3_correct,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
