thisN,thisTrialN,thisRepN,query_image,choice1,choice2,choice3,choice4,choice5,correct_answer,gray1,gray2,gray3,gray4,gray5,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,colorBlock.thisRepN,colorBlock.thisTrialN,colorBlock.thisN,colorBlock.thisIndex,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,grayBlock.thisRepN,grayBlock.thisTrialN,grayBlock.thisN,grayBlock.thisIndex,bothBlock.thisRepN,bothBlock.thisTrialN,bothBlock.thisN,bothBlock.thisIndex,thisRow.t,notes,assigned_group,WelcomeScreen.started,textWelcomeMessage.started,key_Continue.started,WelcomeScreen.stopped,key_Continue.keys,key_Continue.rt,key_Continue.duration,trialColor.started,mouse.started,imageQuery.started,image1.started,image2.started,image3.started,image4.started,image5.started,trialColor.stopped,trialsColor.mouse.x,trialsColor.mouse.y,trialsColor.mouse.leftButton,trialsColor.mouse.midButton,trialsColor.mouse.rightButton,trialsColor.mouse.time,trialsColor.mouse.corr,trialsColor.mouse.clicked_name,blank500.started,text.started,text.stopped,blank500.stopped,confidenceScreen.started,text_confidenceQuestion.started,slider.started,buttonAdvance.started,confidenceScreen.stopped,colorBlock.slider.response,colorBlock.slider.rt,colorBlock.buttonAdvance.numClicks,colorBlock.buttonAdvance.timesOn,colorBlock.buttonAdvance.timesOff,EndScreen.started,textEndMessage.started,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color_only,0.0363954589702189,0.04958004201762378,0.04958004201762378,2.1927765420405194,space,1.959698540973477,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-17_16h09.14.184,mock_study,,2025.1.1,2025-06-17 16h09.18.331616 -0400,
0,0,0,images/banana.png,images/apple.png,images/banana.png,images/orange.png,images/kiwi.png,images/grape.png,image2,images/apple_gray.png,images/banana_gray.png,images/orange_gray.png,images/kiwi_gray.png,images/grape_gray.png,[np.float64(0.2847222222222222)],[np.float64(0.1638888888888889)],[1],[0],[0],[1.0425622499315068],[1],['image2'],0,0,0,0,0,0,0,2,,,,,,,,,2.403750416939147,,,,,,,,,,2.3911787919932976,0.19840875000227243,2.403750416939147,2.403750416939147,2.403750416939147,2.403750416939147,2.403750416939147,2.403750416939147,3.433982999995351,[np.float64(0.2847222222222222)],[np.float64(0.1638888888888889)],[1],[0],[0],[1.0425622499315068],[1],['image2'],3.43445800000336,3.4385293340310454,4.588345083990134,4.433784333989024,,,,,,,,,,,,,,001,2025-06-17_16h09.14.184,mock_study,,2025.1.1,2025-06-17 16h09.18.331616 -0400,
1,1,0,images/orange.png,images/banana.png,images/apple.png,images/kiwi.png,images/grape.png,images/orange.png,image5,images/banana_gray.png,images/apple_gray.png,images/kiwi_gray.png,images/grape_gray.png,images/orange_gray.png,[np.float64(0.325)],[np.float64(-0.21944444444444444)],[1],[0],[0],[1.066803166992031],[1],['image5'],0,0,0,0,0,1,1,4,,,,,,,,,4.588345083990134,,,,,,,,,,4.584966166992672,0.15055933396797627,4.588345083990134,4.588345083990134,4.588345083990134,4.588345083990134,4.588345083990134,4.588345083990134,5.6519669169792905,[np.float64(0.325)],[np.float64(-0.21944444444444444)],[1],[0],[0],[1.066803166992031],[1],['image5'],5.6522119590081275,5.6569877919973806,6.781834166962653,6.641871292027645,,,,,,,,,,,,,,001,2025-06-17_16h09.14.184,mock_study,,2025.1.1,2025-06-17 16h09.18.331616 -0400,
2,2,0,images/apple.png,images/orange.png,images/apple.png,images/grape.png,images/banana.png,images/kiwi.png,image2,images/orange_gray.png,images/apple_gray.png,images/grape_gray.png,images/banana_gray.png,images/kiwi_gray.png,[np.float64(0.30833333333333335)],[np.float64(0.10833333333333334)],[1],[0],[0],[0.6646863330388442],[1],['image2'],0,0,0,0,0,2,2,3,,,,,,,,,6.781834166962653,,,,,,,,,,6.778491083998233,0.12633612495847046,6.781834166962653,6.781834166962653,6.781834166962653,6.781834166962653,6.781834166962653,6.781834166962653,7.443418125039898,[np.float64(0.30833333333333335)],[np.float64(0.10833333333333334)],[1],[0],[0],[0.6646863330388442],[1],['image2'],7.443680749973282,7.448510666959919,8.569304083939642,8.433899458963424,,,,,,,,,,,,,,001,2025-06-17_16h09.14.184,mock_study,,2025.1.1,2025-06-17 16h09.18.331616 -0400,
3,3,0,images/grape.png,images/kiwi.png,images/orange.png,images/grape.png,images/banana.png,images/apple.png,image3,images/kiwi_gray.png,images/orange_gray.png,images/grape_gray.png,images/banana_gray.png,images/apple_gray.png,[np.float64(0.5875)],[np.float64(0.19027777777777777)],[1],[0],[0],[0.8458621249301359],[1],['image3'],0,0,0,0,0,3,3,0,,,,,,,,,8.569304083939642,,,,,,,,,,8.565957583952695,0.12233124999329448,8.569304083939642,8.569304083939642,8.569304083939642,8.569304083939642,8.569304083939642,8.569304083939642,9.41204508394003,[np.float64(0.5875)],[np.float64(0.19027777777777777)],[1],[0],[0],[0.8458621249301359],[1],['image3'],9.412312083994038,9.43236162501853,,10.415837166947313,,,,,,,,,,,,,,001,2025-06-17_16h09.14.184,mock_study,,2025.1.1,2025-06-17 16h09.18.331616 -0400,
4,4,0,images/kiwi.png,images/kiwi.png,images/apple.png,images/grape.png,images/banana.png,images/orange.png,image1,images/kiwi_gray.png,images/apple_gray.png,images/grape_gray.png,images/banana_gray.png,images/orange_gray.png,[np.float64(0.030555555555555555)],[np.float64(0.19166666666666668)],[1],[0],[0],[0.9169888750184327],[1],['image1'],0,0,0,0,0,4,4,1,,,,,,,,,10.572750041959807,,,,,,,,,,10.569382417015731,0.1571270419517532,10.572750041959807,10.572750041959807,10.572750041959807,10.572750041959807,10.572750041959807,10.572750041959807,11.486606708960608,[np.float64(0.030555555555555555)],[np.float64(0.19166666666666668)],[1],[0],[0],[0.9169888750184327],[1],['image1'],11.486870666965842,11.490167333977297,12.52334354200866,12.48339574993588,,,,,,,,,,,,,,001,2025-06-17_16h09.14.184,mock_study,,2025.1.1,2025-06-17 16h09.18.331616 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.49039874994196,12.52334354200866,12.52334354200866,12.52334354200866,14.25238995894324,4.0,1.117341083008796,1,[1.728503750055097],[1.7285080830333754],14.252618334023282,14.265155792003497,,,,,,,,
