thisN,thisTrialN,thisRepN,hotel_query,choice1,choice2,choice3,choice4,choice5,correct_answer,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,colorBlock.thisRepN,colorBlock.thisTrialN,colorBlock.thisN,colorBlock.thisIndex,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,grayBlock.thisRepN,grayBlock.thisTrialN,grayBlock.thisN,grayBlock.thisIndex,bothBlock.thisRepN,bothBlock.thisTrialN,bothBlock.thisN,bothBlock.thisIndex,thisRow.t,notes,assigned_group,WelcomeScreen.started,textWelcomeMessage.started,key_Continue.started,WelcomeScreen.stopped,key_Continue.keys,key_Continue.rt,key_Continue.duration,trialColor.started,mouse.started,imageQuery.started,image1.started,image2.started,image3.started,image4.started,image5.started,queryCaption.started,clicked_image,isCorrect,trialColor.stopped,trialsColor.mouse.x,trialsColor.mouse.y,trialsColor.mouse.leftButton,trialsColor.mouse.midButton,trialsColor.mouse.rightButton,trialsColor.mouse.time,trialsColor.mouse.clicked_name,blank500.started,text.started,text.stopped,blank500.stopped,confidenceScreen.started,text_confidenceQuestion.started,slider.started,buttonAdvance.started,confidenceScreen.stopped,colorBlock.slider.response,colorBlock.slider.rt,colorBlock.buttonAdvance.numClicks,colorBlock.buttonAdvance.timesOn,colorBlock.buttonAdvance.timesOff,EndScreen.started,textEndMessage.started,textEndMessage.stopped,EndScreen.stopped,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color_only,0.027844749973155558,0.04682662500999868,0.04682662500999868,1.4809330420102924,space,1.2528916660230607,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-18_11h42.31.615,mock_study,,2025.1.1,2025-06-18 11h43.13.486885 -0400,
0,0,0,images/hotel2_query,images/hotel2_sample1,images/hotel2_correct,images/hotel2_sample2,images/hotel2_sample3,images/hotel2_sample4,images/hotel2_correct,[np.float64(-0.2708333333333333)],[np.float64(-0.2013888888888889)],[1],[0],[0],[1.7574730420019478],['image1'],0,0,0,0,0,0,0,1,,,,,,,,,1.5426104170037434,,,,,,,,,,1.5294611250283197,0.04853216698393226,1.5426104170037434,1.5426104170037434,1.5426104170037434,1.5426104170037434,1.5426104170037434,1.5426104170037434,1.5426104170037434,images/hotel2_sample1,0,3.2872458329657093,[np.float64(-0.2708333333333333)],[np.float64(-0.2013888888888889)],[1],[0],[0],[1.7574730420019478],['image1'],3.287434499943629,3.292482833028771,4.4512638750020415,4.282815166981891,,,,,,,,,,,,,,,,001,2025-06-18_11h42.31.615,mock_study,,2025.1.1,2025-06-18 11h43.13.486885 -0400,
1,1,0,images/hotel3_query,images/hotel3_correct,images/hotel3_sample1,images/hotel3_sample2,images/hotel3_sample3,images/hotel3_sample4,images/hotel3_correct,[np.float64(-0.26805555555555555)],[np.float64(-0.19583333333333333)],[1],[0],[0],[4.644847874995321],['image1'],0,0,0,0,0,1,1,2,,,,,,,,,4.4512638750020415,,,,,,,,,,4.447161167045124,0.15976870898157358,4.4512638750020415,4.4512638750020415,4.4512638750020415,4.4512638750020415,4.4512638750020415,4.4512638750020415,4.4512638750020415,images/hotel3_correct,1,9.092398207983933,[np.float64(-0.26805555555555555)],[np.float64(-0.19583333333333333)],[1],[0],[0],[4.644847874995321],['image1'],9.092564249993302,9.09826212504413,10.170400833012536,10.090455916943029,,,,,,,,,,,,,,,,001,2025-06-18_11h42.31.615,mock_study,,2025.1.1,2025-06-18 11h43.13.486885 -0400,
2,2,0,images/hotel4_query,images/hotel4_sample1,images/hotel4_sample2,images/hotel4_sample3,images/hotel4_sample4,images/hotel4_correct,images/hotel4_correct,"[np.float64(0.16805555555555557), np.float64(0.31805555555555554), np.float64(0.5138888888888888)]","[np.float64(-0.44027777777777777), np.float64(0.36666666666666664), np.float64(-0.15555555555555556)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.852303459076211, 11.752216167049482, 15.630779959028587]","[None, None, 'image5']",0,0,0,0,0,2,2,3,,,,,,,,,10.170400833012536,,,,,,,,,,10.165552499936894,0.07303324993699789,10.170400833012536,10.170400833012536,10.170400833012536,10.170400833012536,10.170400833012536,10.170400833012536,10.170400833012536,images/hotel4_correct,1,25.79696583293844,"[np.float64(0.16805555555555557), np.float64(0.31805555555555554), np.float64(0.5138888888888888)]","[np.float64(-0.44027777777777777), np.float64(0.36666666666666664), np.float64(-0.15555555555555556)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.852303459076211, 11.752216167049482, 15.630779959028587]","[None, None, 'image5']",25.797149916994385,25.800480625010096,26.88609829195775,26.783417625003494,,,,,,,,,,,,,,,,001,2025-06-18_11h42.31.615,mock_study,,2025.1.1,2025-06-18 11h43.13.486885 -0400,
3,3,0,images/hotel1_query,images/hotel1_sample1,images/hotel1_sample2,images/hotel1_sample4,images/hotel1_correct,images/hotel1_sample3,images/hotel1_correct,[np.float64(0.17916666666666667)],[np.float64(-0.22916666666666666)],[1],[0],[0],[1.1279410410206765],['image4'],0,0,0,0,0,3,3,0,,,,,,,,,26.88609829195775,,,,,,,,,,26.881830708007328,0.08471920795273036,26.88609829195775,26.88609829195775,26.88609829195775,26.88609829195775,26.88609829195775,26.88609829195775,26.88609829195775,images/hotel1_correct,1,28.0103162919404,[np.float64(0.17916666666666667)],[np.float64(-0.22916666666666666)],[1],[0],[0],[1.1279410410206765],['image4'],28.0104717919603,28.013289291993715,29.421966125024483,29.00084466696717,,,,,,,,,,,,,,,,001,2025-06-18_11h42.31.615,mock_study,,2025.1.1,2025-06-18 11h43.13.486885 -0400,
4,4,0,images/hotel5_query,images/hotel5_sample1,images/hotel5_sample2,images/hotel5_correct,images/hotel5_sample3,images/hotel5_sample4,images/hotel5_correct,[np.float64(0.5944444444444444)],[np.float64(0.13333333333333333)],[1],[0],[0],[7.812096250010654],['image3'],0,0,0,0,0,4,4,4,,,,,,,,,29.421966125024483,,,,,,,,,,29.417756916955113,0.40733016608282924,29.421966125024483,29.421966125024483,29.421966125024483,29.421966125024483,29.421966125024483,29.421966125024483,29.421966125024483,images/hotel5_correct,1,37.23049479199108,[np.float64(0.5944444444444444)],[np.float64(0.13333333333333333)],[1],[0],[0],[7.812096250010654],['image3'],37.23067554202862,37.23402062500827,38.27309462497942,38.22498662502039,,,,,,,,,,,,,,,,001,2025-06-18_11h42.31.615,mock_study,,2025.1.1,2025-06-18 11h43.13.486885 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.23385245795362,38.27309462497942,38.27309462497942,38.27309462497942,40.67590983293485,3.0,1.783938833978027,1,[2.402167540974915],[2.4021737079601735],40.676184999989346,40.67891304194927,45.67909733299166,45.66450408298988,,001,2025-06-18_11h42.31.615,mock_study,,2025.1.1,2025-06-18 11h43.13.486885 -0400,
