query_image,choice1,choice2,choice3,choice4,choice5,correct_answer,gray1,gray2,gray3,gray4,gray5,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcomeMessage.started,key_Continue.started,WelcomeScreen.stopped,key_Continue.keys,key_Continue.rt,key_Continue.duration,trialColor.started,mouse.started,imageQuery.started,image1.started,image2.started,image3.started,image4.started,image5.started,trialColor.stopped,trialsColor.mouse.x,trialsColor.mouse.y,trialsColor.mouse.leftButton,trialsColor.mouse.midButton,trialsColor.mouse.rightButton,trialsColor.mouse.time,trialsColor.mouse.corr,trialsColor.mouse.clicked_name,blank500.started,text.started,text.stopped,blank500.stopped,NextScreen.started,textNextScreen.started,key_NextScreen.started,NextScreen.stopped,key_NextScreen.keys,key_NextScreen.rt,key_NextScreen.duration,trialGrayscale.started,mouse_2.started,imageQuery_2.started,image1_2.started,image2_2.started,image3_2.started,image4_2.started,image5_2.started,toggle_button.started,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024511207942850888,0.040844041970558465,0.040844041970558465,22.631034082965925,space,22.403742374968715,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-17_12h11.30.269,mock_study,,2025.1.1,2025-06-17 12h11.33.312160 -0400,
images/kiwi.png,images/kiwi.png,images/apple.png,images/grape.png,images/banana.png,images/orange.png,image1,images/kiwi_gray.png,images/apple_gray.png,images/grape_gray.png,images/banana_gray.png,images/orange_gray.png,0,0,0,[np.float64(0.030555555555555555)],[np.float64(0.18194444444444444)],[1],[0],[0],[1.117042166995816],[1],['image1'],0,0,0,1,,,,,22.795192916993983,,,,,,,,,22.783055707928725,0.1520321670686826,22.795192916993983,22.795192916993983,22.795192916993983,22.795192916993983,22.795192916993983,22.795192916993983,23.900269291945733,[np.float64(0.030555555555555555)],[np.float64(0.18194444444444444)],[1],[0],[0],[1.117042166995816],[1],['image1'],23.90050374995917,23.904748999979347,25.038775707944296,24.891048082965426,,,,,,,,,,,,,,,,,,001,2025-06-17_12h11.30.269,mock_study,,2025.1.1,2025-06-17 12h11.33.312160 -0400,
images/orange.png,images/banana.png,images/apple.png,images/kiwi.png,images/grape.png,images/orange.png,image5,images/banana_gray.png,images/apple_gray.png,images/kiwi_gray.png,images/grape_gray.png,images/orange_gray.png,1,1,0,[np.float64(0.2833333333333333)],[np.float64(-0.21944444444444444)],[1],[0],[0],[1.1303855839651078],[1],['image5'],0,1,1,4,,,,,25.038775707944296,,,,,,,,,25.035275875008665,0.1348213329911232,25.038775707944296,25.038775707944296,25.038775707944296,25.038775707944296,25.038775707944296,25.038775707944296,26.165787542006,[np.float64(0.2833333333333333)],[np.float64(-0.21944444444444444)],[1],[0],[0],[1.1303855839651078],[1],['image5'],26.16588970797602,26.16821487492416,27.293988958001137,27.163544124923646,,,,,,,,,,,,,,,,,,001,2025-06-17_12h11.30.269,mock_study,,2025.1.1,2025-06-17 12h11.33.312160 -0400,
images/apple.png,images/orange.png,images/apple.png,images/grape.png,images/banana.png,images/kiwi.png,image2,images/orange_gray.png,images/apple_gray.png,images/grape_gray.png,images/banana_gray.png,images/kiwi_gray.png,2,2,0,[np.float64(0.30277777777777776)],[np.float64(0.24166666666666667)],[1],[0],[0],[0.8487290410557762],[1],['image2'],0,2,2,3,,,,,27.293988958001137,,,,,,,,,27.290580666973256,0.12473108305130154,27.293988958001137,27.293988958001137,27.293988958001137,27.293988958001137,27.293988958001137,27.293988958001137,28.139494917006232,[np.float64(0.30277777777777776)],[np.float64(0.24166666666666667)],[1],[0],[0],[0.8487290410557762],[1],['image2'],28.139668375020847,28.142767417011783,29.255429124925286,29.125274042016827,,,,,,,,,,,,,,,,,,001,2025-06-17_12h11.30.269,mock_study,,2025.1.1,2025-06-17 12h11.33.312160 -0400,
images/grape.png,images/kiwi.png,images/orange.png,images/grape.png,images/banana.png,images/apple.png,image3,images/kiwi_gray.png,images/orange_gray.png,images/grape_gray.png,images/banana_gray.png,images/apple_gray.png,3,3,0,[np.float64(0.6236111111111111)],[np.float64(0.20416666666666666)],[1],[0],[0],[0.8957435410702601],[1],['image3'],0,3,3,0,,,,,29.255429124925286,,,,,,,,,29.252073124982417,0.11244920792523772,29.255429124925286,29.255429124925286,29.255429124925286,29.255429124925286,29.255429124925286,29.255429124925286,30.14798949996475,[np.float64(0.6236111111111111)],[np.float64(0.20416666666666666)],[1],[0],[0],[0.8957435410702601],[1],['image3'],30.148193749948405,30.15318374999333,31.334929417003877,31.13676274998579,,,,,,,,,,,,,,,,,,001,2025-06-17_12h11.30.269,mock_study,,2025.1.1,2025-06-17 12h11.33.312160 -0400,
images/banana.png,images/apple.png,images/banana.png,images/orange.png,images/kiwi.png,images/grape.png,image2,images/apple_gray.png,images/banana_gray.png,images/orange_gray.png,images/kiwi_gray.png,images/grape_gray.png,4,4,0,[np.float64(0.3527777777777778)],[np.float64(0.2125)],[1],[0],[0],[0.8353877499466762],[1],['image2'],0,4,4,2,,,,,31.334929417003877,,,,,,,,,31.331530957948416,0.18338062497787178,31.334929417003877,31.334929417003877,31.334929417003877,31.334929417003877,31.334929417003877,31.334929417003877,32.16715229197871,[np.float64(0.3527777777777778)],[np.float64(0.2125)],[1],[0],[0],[0.8353877499466762],[1],['image2'],32.16742879198864,32.18776150001213,,33.17189962498378,,,,,,,,,,,,,,,,,,001,2025-06-17_12h11.30.269,mock_study,,2025.1.1,2025-06-17 12h11.33.312160 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.172690792009234,33.179544499958865,33.179544499958865,34.1599601249909,space,0.9770293330075219,None,,,,,,,,,,,001,2025-06-17_12h11.30.269,mock_study,,2025.1.1,2025-06-17 12h11.33.312160 -0400,
images/grape.png,images/kiwi.png,images/orange.png,images/grape.png,images/banana.png,images/apple.png,image3,images/kiwi_gray.png,images/orange_gray.png,images/grape_gray.png,images/banana_gray.png,images/apple_gray.png,0,0,0,,,,,,,,,,,,,0,0,0,0,34.406434749951586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.39642454194836,0.2364617499988526,34.406434749951586,34.406434749951586,34.406434749951586,34.406434749951586,34.406434749951586,34.406434749951586,34.406434749951586,,,,,,,,
