colorBlock.thisRepN,colorBlock.thisTrialN,colorBlock.thisN,colorBlock.thisIndex,grayBlock.thisRepN,grayBlock.thisTrialN,grayBlock.thisN,grayBlock.thisIndex,bothBlock.thisRepN,bothBlock.thisTrialN,bothBlock.thisN,bothBlock.thisIndex,thisRow.t,notes,assigned_group,WelcomeScreen.started,textWelcomeMessage.started,key_Continue.started,WelcomeScreen.stopped,key_Continue.keys,key_Continue.rt,key_Continue.duration,EndScreen.started,textEndMessage.started,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,['color_only'],0.0478967500384897,0.06438891706056893,0.06438891706056893,1.8452660840703174,space,1.571931291022338,None,,,,001,2025-06-17_16h33.04.326,mock_study,,2025.1.1,2025-06-17 16h33.07.859829 -0400,
,,,,,,,,,,,,,,,,,,,,,,1.845593792037107,1.8571037499932572,,,,,,,,
